topic_number,topic_label,rank,video_id,summed_comment_relative_weight,share_of_topic_total_weight,modelled_comment_count,mean_video_relative_weight
15,Vapour barriers and moisture control,8,tufzI-1xTJQ,28.69833574313564,0.017152512415825494,106,0.27073901644467585
15,Vapour barriers and moisture control,9,K6HR2ftXFss,28.234265308759348,0.01687514532531883,117,0.24131850691247306
15,Vapour barriers and moisture control,10,M5tyd3ayt80,27.453346046556053,0.016408403021493663,229,0.11988360719020111
15,Vapour barriers and moisture control,11,KltU08BK7Oc,26.82566395160803,0.016033247994277057,228,0.11765642084038609
15,Vapour barriers and moisture control,12,5d5TRMumuSI,24.825917090785744,0.014838032941886199,93,0.2669453450622123
15,Vapour barriers and moisture control,13,ZLKPLqBI6Ow,23.542727740671296,0.014071092257356864,248,0.09493035379302942
15,Vapour barriers and moisture control,14,AN4_mkEfDPE,21.408917204794434,0.012795749602046215,240,0.08920382168664348
15,Vapour barriers and moisture control,15,l7Ovl2WoDkQ,20.17477173812341,0.01205812162147341,300,0.06724923912707803
15,Vapour barriers and moisture control,16,H51FYrDR5xs,18.35385434871176,0.010969789935286814,291,0.06307166442856275
15,Vapour barriers and moisture control,17,hqFU3zjv-fs,18.264544621048287,0.010916411013724503,63,0.2899134066833062
15,Vapour barriers and moisture control,18,tu1st66use4,17.861880398475776,0.010675745382835585,148,0.12068838107078227
15,Vapour barriers and moisture control,19,35kJvNW81pU,17.49498907418808,0.010456460611362082,234,0.07476491057345333
15,Vapour barriers and moisture control,20,LL2-8RXSYKc,17.246847815414895,0.010308150756042208,131,0.1316553268352282
16,"Prospective choices, recommendations and alternatives",1,QGrCOzSLBSU,33.92615369252717,0.011669530759531319,245,0.13847409670419253
16,"Prospective choices, recommendations and alternatives",2,irytqcJZSps,32.00445837313019,0.01100852795787597,349,0.09170331912071689
16,"Prospective choices, recommendations and alternatives",3,rXJDwjkoEkQ,27.361528399455075,0.00941150594844948,273,0.1002253787525827
16,"Prospective choices, recommendations and alternatives",4,rRqV8BHE8lY,26.815416977652326,0.009223660780600041,255,0.10515849795157775
16,"Prospective choices, recommendations and alternatives",5,0oDLwBZurp8,26.730990172126827,0.009194620612565143,344,0.07770636677943844
16,"Prospective choices, recommendations and alternatives",6,Ou1CjwflZtM,26.36424031935248,0.009068470188122936,321,0.08213158977991426
16,"Prospective choices, recommendations and alternatives",7,s-41UF02vrU,25.751384076655537,0.008857666899305141,232,0.110997345157998
16,"Prospective choices, recommendations and alternatives",8,qNQafR_5ALk,24.83581114787924,0.008542738583181213,160,0.15522381967424526
16,"Prospective choices, recommendations and alternatives",9,l7Ovl2WoDkQ,24.781174211487375,0.00852394519399805,300,0.08260391403829125
16,"Prospective choices, recommendations and alternatives",10,AXamAjE0juw,23.99931091283231,0.008255008788884327,217,0.11059590282411202
16,"Prospective choices, recommendations and alternatives",11,jYNufQVIFfA,23.067216028093462,0.00793439743910265,393,0.058695206178354865
16,"Prospective choices, recommendations and alternatives",12,5dCCntGj1wM,22.37009528524595,0.007694609810198573,311,0.07192956683358825
16,"Prospective choices, recommendations and alternatives",13,S9s1VWxQ-5o,21.82675492321715,0.007507717799832347,290,0.07526467214902464
16,"Prospective choices, recommendations and alternatives",14,kGs_biFA87Q,21.333173811270882,0.007337941407837479,355,0.06009344735569262
16,"Prospective choices, recommendations and alternatives",15,LL6YhT_HkIY,20.891627417140793,0.007186063323609022,204,0.1024099383193176
16,"Prospective choices, recommendations and alternatives",16,ZAPNCBbhoqE,20.32745680602709,0.006992006362136697,229,0.08876618692588249
16,"Prospective choices, recommendations and alternatives",17,tyTT9jNfnc8,19.938906790913904,0.006858357366908027,269,0.07412233007774685
16,"Prospective choices, recommendations and alternatives",18,AN4_mkEfDPE,19.92542664107858,0.006853720618970961,240,0.08302261100449408
16,"Prospective choices, recommendations and alternatives",19,zg9IM061rbU,19.90560728911505,0.006846903384707729,253,0.07867828968029664
16,"Prospective choices, recommendations and alternatives",20,KltU08BK7Oc,19.50770116094079,0.00671003618059675,228,0.08556009281114382
