topic_number,topic_label,topic_type,dominant_video_count,metric,metric_family,valid_n,median,q25,q75
6,"Praise, gratitude and social endorsement",social_interaction,68,api_comments_per_1000_views,discussion_rate,68,1.0067376653445699,0.6224769454981389,2.1476009757648478
6,"Praise, gratitude and social endorsement",social_interaction,68,views_per_day,age_normalised_provisional,68,44.326002091321016,16.56605338286645,120.36317500985416
6,"Praise, gratitude and social endorsement",social_interaction,68,api_comments_per_day,age_normalised_provisional,68,0.053750669316707,0.0171404776453957,0.15220052861374836
7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,25,duration_minutes,video_context,25,0.9,0.5,2.45
7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,25,view_count,reach,25,35325.0,6676.0,82797.0
7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,25,like_count,reach,25,276.0,106.0,598.0
7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,25,api_comment_count,discussion_volume,25,11.0,8.0,22.0
7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,25,likes_per_1000_views,engagement_rate,25,7.903818323499943,5.45913499281375,15.611633875106929
7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,25,api_comments_per_1000_views,discussion_rate,25,0.5566069241901369,0.2135788699304682,1.4170996693434106
7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,25,views_per_day,age_normalised_provisional,25,52.890488431876605,12.943778110944528,118.2
7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,25,api_comments_per_day,age_normalised_provisional,25,0.015299026425591,0.0077054794520547,0.027431421446384
8,"Solar PV, batteries and power systems",technical_subject,92,duration_minutes,video_context,92,7.35,1.4625,14.054166666666667
8,"Solar PV, batteries and power systems",technical_subject,92,view_count,reach,92,93043.0,15329.0,335128.25
8,"Solar PV, batteries and power systems",technical_subject,92,like_count,reach,92,1190.5,144.75,5216.0
8,"Solar PV, batteries and power systems",technical_subject,92,api_comment_count,discussion_volume,92,96.5,17.5,341.75
8,"Solar PV, batteries and power systems",technical_subject,92,likes_per_1000_views,engagement_rate,92,12.152956551816846,7.856021054810542,22.498860507033108
8,"Solar PV, batteries and power systems",technical_subject,92,api_comments_per_1000_views,discussion_rate,92,1.111575562524643,0.45232028736910623,2.2773788104530013
8,"Solar PV, batteries and power systems",technical_subject,92,views_per_day,age_normalised_provisional,92,116.7668203366856,27.376585480209258,552.9963776276276
