representation,topic_count,runtime_seconds,iterations,maximum_iterations,convergence_warning,reconstruction_error,relative_reconstruction_error,mean_topic_npmi,minimum_topic_npmi,maximum_topic_npmi,topic_diversity_top_20,mean_intertopic_cosine_similarity,maximum_intertopic_cosine_similarity,minimum_dominant_topic_comments,maximum_dominant_topic_comments,minimum_dominant_topic_share,maximum_dominant_topic_share,topics_below_one_percent,median_relative_dominant_loading,mean_relative_dominant_loading
inclusive_primary,8,2.8504289999837056,239,500,False,202.49782183742073,0.9829180702026755,0.16049887165955223,-0.16467452349267622,0.3471855908937648,0.875,0.06146158328348263,0.25755610981999144,2034,11145,0.0479230968593172,0.2625874702542233,0,0.5677462617352942,0.6009993442982203
inclusive_primary,10,2.9192945000249892,201,500,False,202.04958400203483,0.980742337821203,0.14538075733130662,-0.16467452349267622,0.3471855908937648,0.84,0.04908000600279591,0.23701188149279873,1630,12628,0.03840444831892185,0.29752844992107064,0,0.5382961649254454,0.5747703120475636
inclusive_primary,12,2.597222900018096,149,500,False,201.6374751827242,0.9787419745495647,0.1838978706304475,-0.1646745234926762,0.36206218076398655,0.8666666666666667,0.044883003527376404,0.20135387254349377,1546,7260,0.03642532337487925,0.17105294159225315,0,0.5118327936536144,0.5472948717348206
inclusive_primary,14,9.475929699954577,487,500,False,201.22590721153423,0.9767442365377256,0.1754538614069458,-0.06626412611929909,0.36206218076398655,0.825,0.040129362772164064,0.22116730748015767,1210,9102,0.028508823598708856,0.21445232429375868,0,0.48301165893166415,0.5200290183918349
inclusive_primary,16,1.695547700044699,62,500,False,200.83565701499842,0.9748499743348304,0.1782898144075768,-0.11385381085876026,0.36206218076398655,0.840625,0.03493352151935179,0.16212304045343104,1043,5105,0.024574134721862262,0.12027896237306505,0,0.4729085895419072,0.5103373600071095
inclusive_primary,20,9.024756700033322,282,500,False,200.118997009827,0.9713713291677725,0.18051169477893453,-0.1646745234926762,0.3879607326127356,0.82,0.029607168419235427,0.14024419707055477,1202,3730,0.02832033550880004,0.0878825719199868,0,0.42635411791507005,0.4656857018079997
