candidate_topic_count,first_run,second_run,mean_matched_cosine,median_matched_cosine,minimum_matched_cosine,mean_top_20_jaccard,minimum_top_20_jaccard
12,1,2,0.9769128577970871,0.9958878578898791,0.888282697708495,0.7566183145893292,0.48148148148148145
12,1,3,0.8831080461743599,0.9811642686471673,0.6099669638433921,0.5902555057534019,0.21212121212121213
12,1,4,0.8975604089469685,0.9923346448632809,0.017015073984605646,0.6761101051205998,0.0
12,1,5,0.9108368892144368,0.9902961769529156,0.28211030218720035,0.6591037221721878,0.08108108108108109
12,1,6,0.9707291951380874,0.9949401758589339,0.8450527430214911,0.7505137910935011,0.48148148148148145
12,1,7,0.8835345394822065,0.9794720205358243,0.5275285084137739,0.6343669512893725,0.17647058823529413
12,1,8,0.9823905407823927,0.9968409340573277,0.8253435603299095,0.8415811241898199,0.5384615384615384
12,1,9,0.8094325803894732,0.9277823456878673,0.022957007652117525,0.5099649473528323,0.02564102564102564
12,1,10,0.8541643358609697,0.978566846869134,0.16911772510543446,0.5564019324261443,0.05263157894736842
12,2,3,0.9128923578577881,0.9778186815775373,0.7168951203273474,0.6373344650518563,0.25
12,2,4,0.8830409945542771,0.9931154175140311,0.018531126884848533,0.6698193111236589,0.0
12,2,5,0.8962778300242089,0.9776925380269932,0.20413020974746016,0.6214896620693722,0.08108108108108109
12,2,6,0.9941290034316502,0.9969936210186781,0.9663253426304446,0.8350429763473243,0.6666666666666666
12,2,7,0.8524152419617672,0.9752047446364946,0.46349139557341074,0.583849807318718,0.1111111111111111
12,2,8,0.9800743730278526,0.997147516329948,0.8926145155566547,0.7724327470704281,0.48148148148148145
12,2,9,0.7939504981164512,0.9467630831023277,0.02353134050249285,0.5065781451023571,0.02564102564102564
12,2,10,0.8257820552831956,0.9453934208158801,0.11934664382196833,0.5158417026611218,0.05263157894736842
12,3,4,0.8560645420823058,0.9768712002193116,0.018140763785221267,0.5784641403638356,0.0
12,3,5,0.8243873352452505,0.956033157099291,0.07994155861300374,0.5201601563045454,0.05263157894736842
12,3,6,0.8959489414532924,0.9791743326776148,0.6941586054512372,0.6116909493970962,0.21212121212121213
12,3,7,0.8889392350972191,0.986341721347453,0.030965086087017445,0.6405368651745464,0.0
12,3,8,0.8674943792687907,0.9534090123306611,0.6169157581428736,0.5615719308741749,0.21212121212121213
12,3,9,0.8234032859708352,0.9593517954035055,0.019857590879163178,0.5311037662986688,0.0
12,3,10,0.902253934093403,0.9907181940052016,0.015136630939889133,0.6628653954740912,0.0
12,4,5,0.893072993437246,0.9792193284120561,0.03116012874444836,0.6133834597852589,0.0
12,4,6,0.8845699076528275,0.993815224046229,0.04635202017090815,0.7010202961289919,0.0
12,4,7,0.8243660057126835,0.9569674535058597,0.20409261427922518,0.5687974633060914,0.14285714285714285
12,4,8,0.8917878771607355,0.9940302817177307,0.04792284783774591,0.7050146042899668,0.0
12,4,9,0.9029012633527258,0.9956815846653948,0.46630903614068003,0.6216730922684397,0.08108108108108109
12,4,10,0.9400203444688117,0.9932591633848018,0.7776960183145832,0.6535090950195896,0.25
12,5,6,0.8879086320946835,0.9798605455297962,0.24042735009536514,0.6079323594316098,0.08108108108108109
12,5,7,0.825648708165534,0.9134838628081317,0.43190698404342226,0.47583766649233916,0.08108108108108109
12,5,8,0.8900406618731682,0.9774351331471632,0.2802178902656098,0.6421043380620044,0.1111111111111111
12,5,9,0.8983091410650297,0.9842055333715577,0.0223523657831664,0.6823519475693388,0.02564102564102564
12,5,10,0.8119868718156692,0.9268457435235775,0.032682238351308734,0.469917202081765,0.0
12,6,7,0.8495609931061888,0.9677027119575403,0.44108583745138874,0.5590872847800835,0.1111111111111111
12,6,8,0.9871033995646364,0.997556753874089,0.9387037533796746,0.7897132389886014,0.48148148148148145
12,6,9,0.7984062494078886,0.952761119426839,0.01897212911451703,0.5335896921732294,0.0
12,6,10,0.8265108073146852,0.9534371933922554,0.03396720051134806,0.544449522241876,0.0
12,7,8,0.8772801046014728,0.9774501236455633,0.4736605154312047,0.604209536629854,0.17647058823529413
12,7,9,0.8067658353395494,0.932138554616057,0.04168590215486953,0.4784149615103089,0.02564102564102564
12,7,10,0.8925937392203815,0.9945871465261394,0.023367996852803323,0.6701538682604601,0.0
12,8,9,0.8022500493286108,0.9139790519085803,0.01856728702895848,0.527479307939078,0.0
12,8,10,0.8340227561109158,0.9780666735460444,0.03303113502912773,0.5518439223149368,0.0
12,9,10,0.9031921894754683,0.9845374661357964,0.4351099725448969,0.5905598094503642,0.1111111111111111
16,1,2,0.8549785676764831,0.9915609388480915,0.0712152564372059,0.6005965144695122,0.02564102564102564
16,1,3,0.9319198164446241,0.9976469382456745,0.02469391209156272,0.7620397813475617,0.05263157894736842
16,1,4,0.9977318087079805,0.9978247033154533,0.9956146584020182,0.8273103707886318,0.6666666666666666
16,1,5,0.859869182546293,0.9937196554132333,0.02039172043486007,0.6313203196498391,0.0
16,1,6,0.8840288601067707,0.9926425965232357,0.029963846560616497,0.6632379319080086,0.02564102564102564
16,1,7,0.8842657505173683,0.9911054172437548,0.03975243989809815,0.6650067624999276,0.02564102564102564
