candidate_topic_count,run_number,run_seed,sample_fraction,sample_size,runtime_seconds,iterations,convergence_warning,reconstruction_error,relative_reconstruction_error,mean_matched_cosine_to_reference,median_matched_cosine_to_reference,minimum_matched_cosine_to_reference,mean_top_20_jaccard_to_reference,minimum_top_20_jaccard_to_reference,mean_absolute_topic_prevalence_difference,maximum_absolute_topic_prevalence_difference
12,1,20380929,0.8,33954,3.401352799963206,119,False,180.36884208610164,0.9788497744502498,0.9974255401197395,0.9984124992302175,0.9890283853837315,0.887085137085137,0.6666666666666666,0.005257242209526609,0.01676284831578205
12,2,20381030,0.8,33954,3.364391200011596,125,False,180.33349782158467,0.9786579634647691,0.979192581755311,0.9963314353962804,0.899879555947034,0.7987403900447378,0.5384615384615384,0.005211045515684812,0.02135707896897243
12,3,20381131,0.8,33954,12.538182100048289,500,True,180.33992047725172,0.9786928187922102,0.8934351983287535,0.9799785968348138,0.641799369920095,0.6072909394555023,0.21212121212121213,0.014136527984406172,0.07105007310817886
12,4,20381232,0.8,33954,5.261373099987395,199,False,180.33795999271535,0.9786821793723189,0.9011425066888591,0.990737817539542,0.018199492022313628,0.7017159169333081,0.0,0.015787090946691815,0.06577839850131817
12,5,20381333,0.8,33954,3.12656489998335,117,False,180.3437677636156,0.9787136977608056,0.9150867391346571,0.9957385792357413,0.2637350528445162,0.7094612145586657,0.1111111111111111,0.01470195802125223,0.07938504278476047
12,6,20381434,0.8,33954,2.7601505999919027,100,False,180.33915982295025,0.978688690771634,0.9717171980506177,0.9935036524689449,0.8056426604829373,0.7885222131598942,0.48148148148148145,0.004429788270472045,0.0164681115424542
12,7,20381535,0.8,33954,8.921517400012817,363,False,180.34335833007276,0.9787114757920531,0.8676551478506097,0.972682369382913,0.48835233380829873,0.6223913548116721,0.17647058823529413,0.02087021663089,0.0830781129848011
12,8,20381636,0.8,33954,3.266363699978683,122,False,180.33861923728642,0.9786857570489965,0.9790303185336905,0.9976047606406209,0.7839741873055349,0.8703537841468876,0.3793103448275862,0.004742749773502889,0.019560751361078627
12,9,20381737,0.8,33954,3.553086100029759,137,False,180.3389012843464,0.9786872876997335,0.8145694246928626,0.9461758972626553,0.022971640994062577,0.5394861250433464,0.02564102564102564,0.01890731541216971,0.10780584740277308
12,10,20381838,0.8,33954,12.424098599993158,500,True,180.34542969406093,0.9787227169473943,0.8567953338115409,0.9738860127122937,0.15844131998874023,0.5543906100256215,0.05263157894736842,0.024260168437531027,0.12295846082415512
16,1,20420929,0.8,33954,3.0836156000150368,79,False,179.64383331403778,0.9749151998042009,0.9322970740574618,0.9983748833301247,0.026949326298541788,0.761248724578244,0.05263157894736842,0.004189033511289677,0.027677877096292117
16,2,20421030,0.8,33954,3.5997948000440374,93,False,179.6479597831655,0.9749375938791878,0.9226660532741324,0.9962273400762596,0.05101833529922521,0.7215431709996927,0.02564102564102564,0.010869609786006965,0.038079516063351915
16,3,20421131,0.8,33954,3.834327599965036,99,False,179.63324724472133,0.974857749906298,0.9984884862103334,0.9988407795432361,0.9967681341706488,0.8841285526068134,0.7391304347826086,0.0032865708497781445,0.011716326601558143
16,4,20421232,0.8,33954,11.539614100009203,343,False,179.61213515121,0.9747431759713948,0.9317234357149263,0.9983026375070112,0.021970191767932266,0.7588583517931344,0.02564102564102564,0.011285495653293193,0.07822489578797635
16,5,20421333,0.8,33954,10.518196700024419,293,False,179.66759215688177,0.9750441374726478,0.9251881127447228,0.9941984486060933,0.017334540616638115,0.7422454357236965,0.0,0.009942027852201794,0.035387929704628666
16,6,20421434,0.8,33954,8.466344599961303,236,False,179.63771115641845,0.9748819752597867,0.9526313319249577,0.9968292162889267,0.45606053297657984,0.8191229060794278,0.21212121212121213,0.00907023053656358,0.04473841407742678
16,7,20421535,0.8,33954,6.056145399983507,167,False,179.61068529466087,0.974735307695812,0.9519766538068686,0.9937574472992314,0.4732970117267898,0.7824304318869537,0.21212121212121213,0.011363106421615438,0.04346516326292352
16,8,20421636,0.8,33954,12.986330500047188,314,False,179.61268289284388,0.9747461485290083,0.9563770329808066,0.9967527208591034,0.49715358028929374,0.7959133258046301,0.21212121212121213,0.00794005775155389,0.03313447934219678
16,9,20421737,0.8,33954,5.216670699999668,121,False,179.62231196649725,0.9747984048747538,0.9979135561869206,0.9986980995971675,0.9931672049179914,0.8645068699416526,0.7391304347826086,0.006018319489785488,0.02453224824835705
16,10,20421838,0.8,33954,6.672569200047292,193,False,179.64393474035694,0.9749157502381256,0.9014949257136051,0.9956534356340538,0.015923075283757297,0.7134289951053444,0.0,0.015157184465041341,0.0649716708365715
