minimum_modelled_comments,eligible_videos,topic_number,topic_label,topic_type,metric,metric_family,valid_n,spearman_rho,p_value_raw,p_value_bh_fdr
1,1158,5,Heat pumps and heating systems,technical_subject,likes_per_1000_views,engagement_rate,1158,0.19486789280950428,2.2578926050573646e-11,9.031570420229459e-11
1,1158,5,Heat pumps and heating systems,technical_subject,api_comments_per_1000_views,discussion_rate,1158,0.23061512602767134,1.9174642791843287e-15,1.0226476155649754e-14
1,1158,5,Heat pumps and heating systems,technical_subject,views_per_day,age_normalised_provisional,1158,0.10130364572809925,0.0005554913429487294,0.0006348472490842621
1,1158,5,Heat pumps and heating systems,technical_subject,api_comments_per_day,age_normalised_provisional,1158,0.2823588673061627,1.146328207500952e-22,2.620178760002176e-22
1,1158,6,"Praise, gratitude and social endorsement",social_interaction,duration_minutes,video_context,1158,0.4547680458933573,3.5475747049718427e-60,5.676119527954948e-59
1,1158,6,"Praise, gratitude and social endorsement",social_interaction,view_count,reach,1158,0.09855813947854271,0.000783861036016706,0.0008958411840190925
1,1158,6,"Praise, gratitude and social endorsement",social_interaction,like_count,reach,1158,0.18845066427847618,1.020135086139434e-10,1.4838328525664495e-10
1,1158,6,"Praise, gratitude and social endorsement",social_interaction,api_comment_count,discussion_volume,1158,0.3187797796377812,9.191619895169727e-29,2.9413183664543127e-28
1,1158,6,"Praise, gratitude and social endorsement",social_interaction,likes_per_1000_views,engagement_rate,1158,0.22447020963519604,1.0824410864224132e-14,8.659528691379305e-14
1,1158,6,"Praise, gratitude and social endorsement",social_interaction,api_comments_per_1000_views,discussion_rate,1158,0.27939459207416706,3.2930573732086567e-22,2.6344458985669254e-21
1,1158,6,"Praise, gratitude and social endorsement",social_interaction,views_per_day,age_normalised_provisional,1158,0.03150115502550848,0.2841363921700416,0.2841363921700416
1,1158,6,"Praise, gratitude and social endorsement",social_interaction,api_comments_per_day,age_normalised_provisional,1158,0.2457576029028198,2.1683192476761486e-17,3.469310796281838e-17
1,1158,7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,duration_minutes,video_context,1158,0.05376758584802872,0.067395753746665,0.09428905975884688
1,1158,7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,view_count,reach,1158,0.3127035788902977,1.1001572248604956e-27,8.801257798883965e-27
1,1158,7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,like_count,reach,1158,0.3142891624112324,5.788183728842749e-28,4.6305469830741994e-27
1,1158,7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,api_comment_count,discussion_volume,1158,0.3205969722393721,4.326208559910095e-29,1.730483423964038e-28
1,1158,7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,likes_per_1000_views,engagement_rate,1158,0.09169508596473579,0.0017868891297376983,0.0028590226075803173
1,1158,7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,api_comments_per_1000_views,discussion_rate,1158,-0.035747594862624,0.22415871220080447,0.25618138537234797
1,1158,7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,views_per_day,age_normalised_provisional,1158,0.31025412302082367,2.9444463827658454e-27,1.570371404141784e-26
1,1158,7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,api_comments_per_day,age_normalised_provisional,1158,0.3054527128568276,1.9744465973953984e-26,7.897786389581594e-26
1,1158,8,"Solar PV, batteries and power systems",technical_subject,duration_minutes,video_context,1158,0.1582475183995688,6.184035032205434e-08,1.649076008588116e-07
1,1158,8,"Solar PV, batteries and power systems",technical_subject,view_count,reach,1158,0.15808811082233637,6.377734647024733e-08,1.0204375435239574e-07
1,1158,8,"Solar PV, batteries and power systems",technical_subject,like_count,reach,1158,0.2202466134428748,3.4547001361088835e-14,7.896457453963162e-14
1,1158,8,"Solar PV, batteries and power systems",technical_subject,api_comment_count,discussion_volume,1158,0.2709918694696894,6.118355317436905e-21,9.789368507899048e-21
1,1158,8,"Solar PV, batteries and power systems",technical_subject,likes_per_1000_views,engagement_rate,1158,0.20034009707058198,5.987142069891799e-12,3.1931424372756265e-11
1,1158,8,"Solar PV, batteries and power systems",technical_subject,api_comments_per_1000_views,discussion_rate,1158,0.13142462120227405,7.225140869048533e-06,2.3120450780955304e-05
1,1158,8,"Solar PV, batteries and power systems",technical_subject,views_per_day,age_normalised_provisional,1158,0.1819661231078079,4.441743295452877e-10,8.883486590905754e-10
1,1158,8,"Solar PV, batteries and power systems",technical_subject,api_comments_per_day,age_normalised_provisional,1158,0.286499951940091,2.5688020315689964e-23,6.850138750850657e-23
1,1158,9,Performance checking and troubleshooting,knowledge_sharing_behaviour,duration_minutes,video_context,1158,0.10424009417231032,0.00038074833697005487,0.0006768859323912086
1,1158,9,Performance checking and troubleshooting,knowledge_sharing_behaviour,view_count,reach,1158,0.21288404874921157,2.46931622110421e-13,5.644151362523909e-13
1,1158,9,Performance checking and troubleshooting,knowledge_sharing_behaviour,like_count,reach,1158,0.20039359174924698,5.908835327601181e-12,9.45413652416189e-12
1,1158,9,Performance checking and troubleshooting,knowledge_sharing_behaviour,api_comment_count,discussion_volume,1158,0.2910344029133244,4.851331272935186e-24,1.1088757195280426e-23
1,1158,9,Performance checking and troubleshooting,knowledge_sharing_behaviour,likes_per_1000_views,engagement_rate,1158,0.03447019305675435,0.2411643587042125,0.25724198261782666
1,1158,9,Performance checking and troubleshooting,knowledge_sharing_behaviour,api_comments_per_1000_views,discussion_rate,1158,0.07026897935130247,0.016775780829713025,0.024401135752309854
1,1158,9,Performance checking and troubleshooting,knowledge_sharing_behaviour,views_per_day,age_normalised_provisional,1158,0.18418071191184418,2.7035729454595785e-10,6.179595303907608e-10
1,1158,9,Performance checking and troubleshooting,knowledge_sharing_behaviour,api_comments_per_day,age_normalised_provisional,1158,0.2609791922608604,1.743830573310865e-19,3.1001432414415374e-19
1,1158,10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,duration_minutes,video_context,1158,0.18365063140920668,3.0464248567105007e-10,9.748559541473602e-10
1,1158,10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,view_count,reach,1158,0.2595079630210484,2.818944146510229e-19,9.020621268832733e-19
1,1158,10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,like_count,reach,1158,0.29062524092472414,5.6457478953112695e-24,2.2582991581245078e-23
1,1158,10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,api_comment_count,discussion_volume,1158,0.3732441635518621,1.3713906715315794e-39,1.0971125372252635e-38
1,1158,10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,likes_per_1000_views,engagement_rate,1158,0.16221950112530956,2.8391544010687144e-08,7.571078402849905e-08
1,1158,10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,api_comments_per_1000_views,discussion_rate,1158,0.11789912244159231,5.777049439906963e-05,0.00015405465173085235
1,1158,10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,views_per_day,age_normalised_provisional,1158,0.26477431889023056,4.981202532375818e-20,1.9924810129503272e-19
1,1158,10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,api_comments_per_day,age_normalised_provisional,1158,0.3661023710377264,4.79452604780215e-38,7.67124167648344e-37
1,1158,11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,duration_minutes,video_context,1158,0.13315472229040146,5.453474776006117e-06,1.0906949552012234e-05
1,1158,11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,view_count,reach,1158,0.3432510232299242,2.3104538155888542e-33,3.696726104942167e-32
1,1158,11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,like_count,reach,1158,0.3645769689900004,1.0125500354053919e-37,1.620080056648627e-36
1,1158,11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,api_comment_count,discussion_volume,1158,0.41094908555684934,2.0924107215346184e-48,3.3478571544553894e-47
1,1158,11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,likes_per_1000_views,engagement_rate,1158,0.11978674584300712,4.377577514196407e-05,8.755155028392814e-05
1,1158,11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,api_comments_per_1000_views,discussion_rate,1158,0.03009573329521553,0.30618235553049467,0.326594512565861
1,1158,11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,views_per_day,age_normalised_provisional,1158,0.3143175198214384,5.721878882633421e-28,4.577503106106737e-27
1,1158,11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,api_comments_per_day,age_normalised_provisional,1158,0.3587112321368812,1.728305327512597e-36,1.3826442620100775e-35
1,1158,12,Roof and attic ventilation and airflow,technical_subject,duration_minutes,video_context,1158,0.05091512159311383,0.08329793503104371,0.10252053542282304
1,1158,12,Roof and attic ventilation and airflow,technical_subject,view_count,reach,1158,0.14658635259935024,5.444595569001289e-07,7.919411736729147e-07
1,1158,12,Roof and attic ventilation and airflow,technical_subject,like_count,reach,1158,0.18350553214861648,3.14743936177384e-10,4.1965858156984535e-10
1,1158,12,Roof and attic ventilation and airflow,technical_subject,api_comment_count,discussion_volume,1158,0.239115877785357,1.6090760948387116e-16,1.9804013474937989e-16
1,1158,12,Roof and attic ventilation and airflow,technical_subject,likes_per_1000_views,engagement_rate,1158,0.14532824831474808,6.817885192437607e-07,1.558373758271453e-06
1,1158,12,Roof and attic ventilation and airflow,technical_subject,api_comments_per_1000_views,discussion_rate,1158,0.0892107125548611,0.0023770504287007653,0.004430982643777692
1,1158,12,Roof and attic ventilation and airflow,technical_subject,views_per_day,age_normalised_provisional,1158,0.14911414832652228,3.445185265333304e-07,5.512296424533286e-07
1,1158,12,Roof and attic ventilation and airflow,technical_subject,api_comments_per_day,age_normalised_provisional,1158,0.23832807632335393,2.032788803247271e-16,2.956783713814212e-16
1,1158,13,"Wall, cavity and floor insulation",technical_subject,duration_minutes,video_context,1158,0.02765720628482007,0.34705265151481973,0.3966316017312225
1,1158,13,"Wall, cavity and floor insulation",technical_subject,view_count,reach,1158,0.06578563450624814,0.025178487906448062,0.025178487906448062
1,1158,13,"Wall, cavity and floor insulation",technical_subject,like_count,reach,1158,0.08874154064270155,0.0025067559230926785,0.0025067559230926785
1,1158,13,"Wall, cavity and floor insulation",technical_subject,api_comment_count,discussion_volume,1158,0.14347169709254243,9.468940302038706e-07,9.468940302038706e-07
1,1158,13,"Wall, cavity and floor insulation",technical_subject,likes_per_1000_views,engagement_rate,1158,0.039492909048846205,0.17927440588745885,0.20488503529995297
1,1158,13,"Wall, cavity and floor insulation",technical_subject,api_comments_per_1000_views,discussion_rate,1158,0.08879226414949609,0.0024924277371249515,0.004430982643777692
1,1158,13,"Wall, cavity and floor insulation",technical_subject,views_per_day,age_normalised_provisional,1158,0.042912781918230065,0.1444574216484225,0.154087916424984
1,1158,13,"Wall, cavity and floor insulation",technical_subject,api_comments_per_day,age_normalised_provisional,1158,0.1154288674954292,8.254140959056567e-05,8.254140959056567e-05
1,1158,14,Thermostat wiring and smart heating controls,technical_subject,duration_minutes,video_context,1158,0.2022086518550934,3.771872426834021e-12,1.5087489707336085e-11
1,1158,14,Thermostat wiring and smart heating controls,technical_subject,view_count,reach,1158,0.16509447856206125,1.5968716151476326e-08,2.8388828713735692e-08
1,1158,14,Thermostat wiring and smart heating controls,technical_subject,like_count,reach,1158,0.17828877767955914,9.993137603521543e-10,1.2299246281257284e-09
1,1158,14,Thermostat wiring and smart heating controls,technical_subject,api_comment_count,discussion_volume,1158,0.23809880958138518,2.1755382143297758e-16,2.486329387805458e-16
1,1158,14,Thermostat wiring and smart heating controls,technical_subject,likes_per_1000_views,engagement_rate,1158,0.04597387846543565,0.11791138535903875,0.14512170505727845
1,1158,14,Thermostat wiring and smart heating controls,technical_subject,api_comments_per_1000_views,discussion_rate,1158,0.054338950249052706,0.06453140361392719,0.07942326598637192
1,1158,14,Thermostat wiring and smart heating controls,technical_subject,views_per_day,age_normalised_provisional,1158,0.1384111256946246,2.2704025587996775e-06,3.0272034117329035e-06
1,1158,14,Thermostat wiring and smart heating controls,technical_subject,api_comments_per_day,age_normalised_provisional,1158,0.20080723323823604,5.336257308376639e-12,5.692007795601748e-12
1,1158,15,Vapour barriers and moisture control,technical_subject,duration_minutes,video_context,1158,0.053129584776521695,0.07071679481913516,0.09428905975884688
1,1158,15,Vapour barriers and moisture control,technical_subject,view_count,reach,1158,0.21782191218492994,6.654681510498809e-14,1.7745817361330157e-13
1,1158,15,Vapour barriers and moisture control,technical_subject,like_count,reach,1158,0.2254172137662387,8.317389785711264e-15,2.2179706095230038e-14
1,1158,15,Vapour barriers and moisture control,technical_subject,api_comment_count,discussion_volume,1158,0.24155972198190254,7.750539081201822e-17,1.0334052108269096e-16
1,1158,15,Vapour barriers and moisture control,technical_subject,likes_per_1000_views,engagement_rate,1158,0.06003584190817467,0.04109008366551736,0.054786778220689815
1,1158,15,Vapour barriers and moisture control,technical_subject,api_comments_per_1000_views,discussion_rate,1158,-0.020892209519889713,0.47754351440703086,0.47754351440703086
1,1158,15,Vapour barriers and moisture control,technical_subject,views_per_day,age_normalised_provisional,1158,0.22289017856702967,1.6755309609267372e-14,4.4680825624712994e-14
1,1158,15,Vapour barriers and moisture control,technical_subject,api_comments_per_day,age_normalised_provisional,1158,0.2332610476424673,8.959920268165936e-16,1.1946560357554583e-15
1,1158,16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,duration_minutes,video_context,1158,0.28901094005650174,1.0245058685331574e-23,8.196046948265259e-23
1,1158,16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,view_count,reach,1158,0.112735057446454,0.00012083569636136282,0.00014872085706013887
1,1158,16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,like_count,reach,1158,0.20054169200501987,5.6972352781827064e-12,9.45413652416189e-12
1,1158,16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,api_comment_count,discussion_volume,1158,0.32964205920211664,9.403494501425036e-31,5.0151970674266854e-30
1,1158,16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,likes_per_1000_views,engagement_rate,1158,0.251950316704953,3.1682676187932545e-18,5.069228190069207e-17
1,1158,16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,api_comments_per_1000_views,discussion_rate,1158,0.28021249730495396,2.46435387109506e-22,2.6344458985669254e-21
1,1158,16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,views_per_day,age_normalised_provisional,1158,0.1263169144587805,1.6242575547819024e-05,1.9990862212700335e-05
1,1158,16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,api_comments_per_day,age_normalised_provisional,1158,0.32909958274709544,1.1874421727926094e-30,6.333024921560584e-30
5,789,1,Situated household retrofit experience and building context,mixed,duration_minutes,video_context,789,-0.032715575234722315,0.35875436053754123,0.4415438283538969
5,789,1,Situated household retrofit experience and building context,mixed,view_count,reach,789,0.05467173898118992,0.12493243177691601,0.16657657570255469
5,789,1,Situated household retrofit experience and building context,mixed,like_count,reach,789,0.11640135249425122,0.0010544849130141518,0.0033743517216452855
5,789,1,Situated household retrofit experience and building context,mixed,api_comment_count,discussion_volume,789,0.13424252604282935,0.00015562959719977795,0.0003112591943995559
5,789,1,Situated household retrofit experience and building context,mixed,likes_per_1000_views,engagement_rate,789,0.15664282273633418,9.856322300530764e-06,3.154023136169844e-05
5,789,1,Situated household retrofit experience and building context,mixed,api_comments_per_1000_views,discussion_rate,789,0.07959140195291112,0.0253742224979629,0.045109728885267375
5,789,1,Situated household retrofit experience and building context,mixed,views_per_day,age_normalised_provisional,789,0.10094689339466303,0.0045358890408637035,0.009071778081727407
5,789,1,Situated household retrofit experience and building context,mixed,api_comments_per_day,age_normalised_provisional,789,0.17458599234314146,8.050534262658653e-07,4.2936182734179485e-06
5,789,2,Spray foam and foam insulation,technical_subject,duration_minutes,video_context,789,-0.12074667612114814,0.0006769801320283213,0.0015473831589218772
5,789,2,Spray foam and foam insulation,technical_subject,view_count,reach,789,0.22454483311423423,1.7836082572708762e-10,2.853773211633402e-09
5,789,2,Spray foam and foam insulation,technical_subject,like_count,reach,789,0.2284085898828103,8.491119492341231e-11,1.358579118774597e-09
5,789,2,Spray foam and foam insulation,technical_subject,api_comment_count,discussion_volume,789,0.1506467953029184,2.1462867433699386e-05,6.0511657397232934e-05
5,789,2,Spray foam and foam insulation,technical_subject,likes_per_1000_views,engagement_rate,789,-9.797232410953014e-06,0.9997807735890272,0.9997807735890272
5,789,2,Spray foam and foam insulation,technical_subject,api_comments_per_1000_views,discussion_rate,789,-0.17813112327570113,4.754925297667475e-07,1.2679800793779933e-06
5,789,2,Spray foam and foam insulation,technical_subject,views_per_day,age_normalised_provisional,789,0.2546370099153151,3.836158521706513e-13,6.137853634730421e-12
5,789,2,Spray foam and foam insulation,technical_subject,api_comments_per_day,age_normalised_provisional,789,0.15990784814171466,6.372781061761266e-06,1.6994082831363374e-05
5,789,3,Clarification and specification questions,knowledge_sharing_behaviour,duration_minutes,video_context,789,-0.1384538720847501,9.552311290282512e-05,0.0003056739612890404
5,789,3,Clarification and specification questions,knowledge_sharing_behaviour,view_count,reach,789,0.15887525961570645,7.322055707928013e-06,2.928822283171205e-05
5,789,3,Clarification and specification questions,knowledge_sharing_behaviour,like_count,reach,789,0.09340762104584922,0.008656704791631635,0.01731340958326327
5,789,3,Clarification and specification questions,knowledge_sharing_behaviour,api_comment_count,discussion_volume,789,0.030146144280734286,0.39775970875088107,0.45458252428672125
5,789,3,Clarification and specification questions,knowledge_sharing_behaviour,likes_per_1000_views,engagement_rate,789,-0.10972123804431762,0.0020258769827710636,0.005402338620722836
