topic_number,topic_label,metric,rho_all_nmf_videos,valid_n_all,rho_min_10_comments,valid_n_min_10,rho_change_min10_minus_all,absolute_rho_change
1,Situated household retrofit experience and building context,duration_minutes,0.07524843324557515,1158,-0.07210099811601918,591,-0.14734943136159434,0.14734943136159434
1,Situated household retrofit experience and building context,view_count,0.11334708701159746,1158,0.04305111486777149,591,-0.07029597214382596,0.07029597214382596
1,Situated household retrofit experience and building context,like_count,0.16704088686962965,1158,0.09889245131962687,591,-0.06814843555000277,0.06814843555000277
1,Situated household retrofit experience and building context,api_comment_count,0.21213642422160978,1158,0.10633780104825731,591,-0.10579862317335247,0.10579862317335247
1,Situated household retrofit experience and building context,likes_per_1000_views,0.19138630237977003,1158,0.12124525163873011,591,-0.07014105074103992,0.07014105074103992
1,Situated household retrofit experience and building context,api_comments_per_1000_views,0.1333538010255896,1158,0.06536352665149016,591,-0.06799027437409945,0.06799027437409945
1,Situated household retrofit experience and building context,views_per_day,0.1438297135223679,1158,0.10069049949889662,591,-0.043139214023471276,0.043139214023471276
1,Situated household retrofit experience and building context,api_comments_per_day,0.23294620446204412,1158,0.16897042443803176,591,-0.06397578002401236,0.06397578002401236
2,Spray foam and foam insulation,duration_minutes,0.010203755208451808,1158,-0.19260107758772355,591,-0.20280483279617537,0.20280483279617537
2,Spray foam and foam insulation,view_count,0.30921042973344354,1158,0.19882944098918723,591,-0.11038098874425631,0.11038098874425631
2,Spray foam and foam insulation,like_count,0.31187414491509224,1158,0.1861701007531807,591,-0.12570404416191155,0.12570404416191155
2,Spray foam and foam insulation,api_comment_count,0.3019277931948275,1158,0.049486389972576025,591,-0.25244140322225145,0.25244140322225145
2,Spray foam and foam insulation,likes_per_1000_views,0.08281270361801138,1158,-0.08545881266922847,591,-0.16827151628723985,0.16827151628723985
2,Spray foam and foam insulation,api_comments_per_1000_views,-0.08290614405309293,1158,-0.25148279673265717,591,-0.16857665267956423,0.16857665267956423
2,Spray foam and foam insulation,views_per_day,0.31884141084757167,1158,0.23992745045463615,591,-0.07891396039293552,0.07891396039293552
2,Spray foam and foam insulation,api_comments_per_day,0.2910986593636815,1158,0.08307417071960314,591,-0.20802448864407835,0.20802448864407835
3,Clarification and specification questions,duration_minutes,-0.00719103212980809,1158,-0.10758297744462098,591,-0.10039194531481288,0.10039194531481288
3,Clarification and specification questions,view_count,0.2783096965645725,1158,0.10625018893108026,591,-0.17205950763349223,0.17205950763349223
3,Clarification and specification questions,like_count,0.2590305871363612,1158,0.0417210517731145,591,-0.21730953536324668,0.21730953536324668
3,Clarification and specification questions,api_comment_count,0.2580193973579158,1158,-0.009936798541539895,591,-0.2679561958994557,0.2679561958994557
3,Clarification and specification questions,likes_per_1000_views,0.005350052709095379,1158,-0.1299892425212224,591,-0.1353392952303178,0.1353392952303178
3,Clarification and specification questions,api_comments_per_1000_views,-0.056377144117826836,1158,-0.17826199683293376,591,-0.12188485271510692,0.12188485271510692
3,Clarification and specification questions,views_per_day,0.23557355483891948,1158,0.043728883318490126,591,-0.19184467152042936,0.19184467152042936
3,Clarification and specification questions,api_comments_per_day,0.21742395287443608,1158,-0.06928992142792366,591,-0.28671387430235973,0.28671387430235973
4,"Implementation, cost and how-to questions",duration_minutes,0.1483122193896383,1158,-0.01005107652495825,591,-0.15836329591459652,0.15836329591459652
4,"Implementation, cost and how-to questions",view_count,0.19195409076390438,1158,-0.003555043471588253,591,-0.19550913423549263,0.19550913423549263
4,"Implementation, cost and how-to questions",like_count,0.214373827319276,1158,-0.011258038520975776,591,-0.2256318658402518,0.2256318658402518
4,"Implementation, cost and how-to questions",api_comment_count,0.28922701955742885,1158,-0.046702098584399734,591,-0.3359291181418286,0.3359291181418286
4,"Implementation, cost and how-to questions",likes_per_1000_views,0.11853551291376596,1158,-0.015042159378776496,591,-0.13357767229254247,0.13357767229254247
4,"Implementation, cost and how-to questions",api_comments_per_1000_views,0.10777639061346496,1158,-0.0624955528530337,591,-0.17027194346649865,0.17027194346649865
4,"Implementation, cost and how-to questions",views_per_day,0.1651530411359123,1158,-0.04341124657308086,591,-0.20856428770899316,0.20856428770899316
4,"Implementation, cost and how-to questions",api_comments_per_day,0.26159683359445096,1158,-0.10203929301408438,591,-0.36363612660853534,0.36363612660853534
5,Heat pumps and heating systems,duration_minutes,0.26966085553516284,1158,0.24861481886827533,591,-0.021046036666887508,0.021046036666887508
5,Heat pumps and heating systems,view_count,0.0979579402030009,1158,-0.19137269063545714,591,-0.28933063083845806,0.28933063083845806
5,Heat pumps and heating systems,like_count,0.15869873260503556,1158,-0.10903329409651835,591,-0.26773202670155394,0.26773202670155394
5,Heat pumps and heating systems,api_comment_count,0.28956532555880965,1158,0.057669852538287394,591,-0.23189547302052227,0.23189547302052227
5,Heat pumps and heating systems,likes_per_1000_views,0.19486789280950428,1158,0.19059740305394732,591,-0.0042704897555569665,0.0042704897555569665
5,Heat pumps and heating systems,api_comments_per_1000_views,0.23061512602767134,1158,0.3072057326271771,591,0.07659060659950576,0.07659060659950576
5,Heat pumps and heating systems,views_per_day,0.10130364572809925,1158,-0.1546061492989768,591,-0.25590979502707606,0.25590979502707606
5,Heat pumps and heating systems,api_comments_per_day,0.2823588673061627,1158,0.08270764153015878,591,-0.19965122577600394,0.19965122577600394
6,"Praise, gratitude and social endorsement",duration_minutes,0.4547680458933573,1158,0.5022851026476071,591,0.047517056754249776,0.047517056754249776
6,"Praise, gratitude and social endorsement",view_count,0.09855813947854271,1158,-0.20907531897379614,591,-0.30763345845233886,0.30763345845233886
6,"Praise, gratitude and social endorsement",like_count,0.18845066427847618,1158,-0.14718399853632716,591,-0.33563466281480336,0.33563466281480336
6,"Praise, gratitude and social endorsement",api_comment_count,0.3187797796377812,1158,-0.0019488347105399994,591,-0.32072861434832123,0.32072861434832123
6,"Praise, gratitude and social endorsement",likes_per_1000_views,0.22447020963519604,1158,0.12727996216780746,591,-0.09719024746738858,0.09719024746738858
6,"Praise, gratitude and social endorsement",api_comments_per_1000_views,0.27939459207416706,1158,0.2822753580389303,591,0.002880765964763221,0.002880765964763221
6,"Praise, gratitude and social endorsement",views_per_day,0.03150115502550848,1158,-0.32388728313618614,591,-0.35538843816169463,0.35538843816169463
6,"Praise, gratitude and social endorsement",api_comments_per_day,0.2457576029028198,1158,-0.15001587021074242,591,-0.39577347311356226,0.39577347311356226
7,"Alternative methods, challenges and ""why"" questions",duration_minutes,0.05376758584802872,1158,-0.13670724032582807,591,-0.1904748261738568,0.1904748261738568
7,"Alternative methods, challenges and ""why"" questions",view_count,0.3127035788902977,1158,0.15995138018443425,591,-0.15275219870586346,0.15275219870586346
7,"Alternative methods, challenges and ""why"" questions",like_count,0.3142891624112324,1158,0.1459743575965929,591,-0.16831480481463948,0.16831480481463948
7,"Alternative methods, challenges and ""why"" questions",api_comment_count,0.3205969722393721,1158,0.07139963450095566,591,-0.24919733773841646,0.24919733773841646
7,"Alternative methods, challenges and ""why"" questions",likes_per_1000_views,0.09169508596473579,1158,-0.013606569439679658,591,-0.10530165540441544,0.10530165540441544
7,"Alternative methods, challenges and ""why"" questions",api_comments_per_1000_views,-0.035747594862624,1158,-0.18396960744146637,591,-0.14822201257884238,0.14822201257884238
7,"Alternative methods, challenges and ""why"" questions",views_per_day,0.31025412302082367,1158,0.18479982875286638,591,-0.1254542942679573,0.1254542942679573
7,"Alternative methods, challenges and ""why"" questions",api_comments_per_day,0.3054527128568276,1158,0.08539591939961655,591,-0.22005679345721108,0.22005679345721108
8,"Solar PV, batteries and power systems",duration_minutes,0.1582475183995688,1158,0.12475582706246487,591,-0.03349169133710393,0.03349169133710393
8,"Solar PV, batteries and power systems",view_count,0.15808811082233637,1158,-0.01000448217194708,591,-0.16809259299428345,0.16809259299428345
8,"Solar PV, batteries and power systems",like_count,0.2202466134428748,1158,0.090740452768416,591,-0.1295061606744588,0.1295061606744588
8,"Solar PV, batteries and power systems",api_comment_count,0.2709918694696894,1158,0.14978706248728227,591,-0.12120480698240713,0.12120480698240713
8,"Solar PV, batteries and power systems",likes_per_1000_views,0.20034009707058198,1158,0.24437354532716304,591,0.044033448256581065,0.044033448256581065
8,"Solar PV, batteries and power systems",api_comments_per_1000_views,0.13142462120227405,1158,0.18878174025844813,591,0.05735711905617408,0.05735711905617408
