dominant_topic_number,dominant_topic_label,secondary_topic_number,secondary_topic_label,comment_count,share_of_all_comments,share_within_dominant_topic,mean_secondary_relative_weight,median_secondary_relative_weight,mean_dominance_margin
4,"Implementation, cost and how-to questions",8,"Solar PV, batteries and power systems",209,0.004924251348867893,0.08822287885183622,0.21291844802794457,0.20170097146806473,0.41204546282292515
13,"Wall, cavity and floor insulation",6,"Praise, gratitude and social endorsement",208,0.004900690337629291,0.0635114503816794,0.2513188701782778,0.2506595577253369,0.23912524948032501
5,Heat pumps and heating systems,6,"Praise, gratitude and social endorsement",207,0.004877129326390689,0.06981450252951096,0.22641585484737084,0.2157412283249524,0.2729005212493925
10,"Implementation follow-up, outcomes and retrospective questions",3,Clarification and specification questions,205,0.004830007303913484,0.11960326721120186,0.3140565654516366,0.3089498714588913,0.1108212292829244
6,"Praise, gratitude and social endorsement",9,Performance checking and troubleshooting,200,0.004712202247720472,0.05333333333333334,0.21342628716750267,0.20710370033328282,0.27529434680361076
4,"Implementation, cost and how-to questions",12,Roof and attic ventilation and airflow,198,0.004665080225243267,0.08357956943858168,0.22057332783750716,0.2099539625621767,0.37990130687371454
9,Performance checking and troubleshooting,12,Roof and attic ventilation and airflow,197,0.004641519214004665,0.08090349075975359,0.2363475886476237,0.24088344560119898,0.2323928291938922
9,Performance checking and troubleshooting,3,Clarification and specification questions,196,0.004617958202766063,0.08049281314168377,0.2901501156840814,0.2796373520052222,0.16896363685068871
11,"Product sourcing, access and location questions",1,Situated household retrofit experience and building context,196,0.004617958202766063,0.18791946308724833,0.1912786786070215,0.1965021344581897,0.34398082215183107
8,"Solar PV, batteries and power systems",3,Clarification and specification questions,195,0.004594397191527461,0.057352941176470586,0.2472520560468902,0.23729392995223,0.2697671105583721
14,Thermostat wiring and smart heating controls,6,"Praise, gratitude and social endorsement",195,0.004594397191527461,0.1058057514921324,0.2369999773416623,0.2355652658390737,0.26818039350657813
3,Clarification and specification questions,14,Thermostat wiring and smart heating controls,192,0.004523714157811653,0.0684248039914469,0.2249621890827005,0.21475101851700146,0.3612173829710285
16,"Prospective choices, recommendations and alternatives",8,"Solar PV, batteries and power systems",191,0.004500153146573051,0.07097733184689707,0.23024144228514812,0.2237592007325588,0.2459810602862163
4,"Implementation, cost and how-to questions",13,"Wall, cavity and floor insulation",186,0.004382348090380039,0.07851414098775855,0.24793793374654605,0.2523283506940861,0.27524562303890265
