dominant_topic_number,dominant_topic_label,secondary_topic_number,secondary_topic_label,comment_count,share_of_all_comments,share_within_dominant_topic,mean_secondary_relative_weight,median_secondary_relative_weight,mean_dominance_margin
2,Spray foam and foam insulation,3,Clarification and specification questions,60,0.0014136606743161417,0.03667481662591687,0.22563739319585446,0.22890731514459467,0.31346587492032685
11,"Product sourcing, access and location questions",4,"Implementation, cost and how-to questions",59,0.0013900996630775394,0.05656759348034516,0.3014270114739348,0.3081540696851109,0.10473307876495735
10,"Implementation follow-up, outcomes and retrospective questions",9,Performance checking and troubleshooting,59,0.0013900996630775394,0.03442240373395566,0.18462509868334684,0.18838300766848387,0.3670543699998743
3,Clarification and specification questions,2,Spray foam and foam insulation,57,0.0013429776406003345,0.020313613684960798,0.2647527159166175,0.26772499805783334,0.247629268042009
14,Thermostat wiring and smart heating controls,13,"Wall, cavity and floor insulation",55,0.0012958556181231298,0.02984264785675529,0.19039798805351693,0.1887209050755722,0.3780085135854163
2,Spray foam and foam insulation,7,"Alternative methods, challenges and ""why"" questions",54,0.0012722946068845274,0.03300733496332518,0.2184887039866473,0.23586540549694185,0.2767436928797049
4,"Implementation, cost and how-to questions",10,"Implementation follow-up, outcomes and retrospective questions",53,0.001248733595645925,0.0223723089911355,0.2980909158173049,0.31033330364147826,0.12410908101101012
11,"Product sourcing, access and location questions",9,Performance checking and troubleshooting,51,0.0012016115731687204,0.0488974113135187,0.25344108924725123,0.24560604501799307,0.18145090134090863
2,Spray foam and foam insulation,10,"Implementation follow-up, outcomes and retrospective questions",50,0.001178050561930118,0.030562347188264057,0.2628521508912796,0.26019085327659586,0.1798504032933229
2,Spray foam and foam insulation,8,"Solar PV, batteries and power systems",50,0.001178050561930118,0.030562347188264057,0.10030807772313834,0.07632466769133936,0.6148875057397022
9,Performance checking and troubleshooting,2,Spray foam and foam insulation,49,0.0011544895506915157,0.020123203285420943,0.2652910932123795,0.27130114378086656,0.2566044033633573
4,"Implementation, cost and how-to questions",11,"Product sourcing, access and location questions",49,0.0011544895506915157,0.020683832840861123,0.22213759790528287,0.24387517990455898,0.27816686811477653
