candidate_topic_count,run_number,run_seed,reference_topic_number,matched_run_topic_number,cosine_similarity,top_20_term_jaccard,reference_dominant_share,run_dominant_share,prevalence_difference,absolute_prevalence_difference,reference_top_10_terms,run_top_10_terms
12,3,20381131,1,2,0.6673712146518821,0.21212121212121213,0.17105294159225315,0.14457795841432527,-0.026474983177927874,0.026474983177927874,not | would | house | like | just | good | when | never | years | more,house | air | no | when | cold | old | windows | room | years | outside
12,3,20381131,2,5,0.9989475881846696,0.9047619047619048,0.04349362674645996,0.04338222300759852,-0.00011140373886144028,0.00011140373886144028,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | use | cell | foam insulation | closed | closed cell | foam board | expanding
12,3,20381131,3,3,0.9993699611462963,0.8181818181818182,0.0769267016940367,0.07200918890263297,-0.004917512791403733,0.004917512791403733,what | what would | what happens | happens | what brand | what did | using | know what | what kind | brand,what | what happens | happens | what did | know what | what kind | what would | using | what brand | did
12,3,20381131,4,4,0.9970679545109227,0.7391304347826086,0.06820912753575384,0.07259822112269541,0.004389093586941575,0.004389093586941575,how | how did | did | cost | how does | how long | know | how would | long | know how,how | how did | did | how does | cost | how long | know | does | long | how would
12,3,20381131,5,8,0.9918983427994207,0.8181818181818182,0.07791626416605801,0.07256876951169229,-0.005347494654365723,0.005347494654365723,heat | pump | heat pump | water | heating | gas | boiler | pumps | heat pumps | hot,heat | pump | heat pump | gas | pumps | heating | boiler | water | heat pumps | hot
12,3,20381131,6,6,0.9963695302186567,0.6666666666666666,0.09803736776382442,0.09798550980738646,-5.1857956437958985e-05,5.1857956437958985e-05,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | videos,video | great | great video | thanks | thank | hi | video thanks | thanks video | videos | question
12,3,20381131,7,7,0.9680588508702069,0.8181818181818182,0.05315364135428693,0.04597396477587324,-0.007179676578413688,0.007179676578413688,why | not | why not | use | did | why would | why did | did not | not just | not use,why | why not | use | why did | why would | did | not | not just | just | not use
12,3,20381131,8,1,0.7881163464154911,0.5384615384615384,0.08562071484108098,0.08979796194851858,0.0041772471074375955,0.0041772471074375955,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,would | solar | panels | like | battery | cost | power | more | solar panels | panel
12,3,20381131,9,9,0.7387547963631188,0.3333333333333333,0.08545578776241076,0.15650586087058962,0.07105007310817886,0.07105007310817886,does | does not | wire | thermostat | not | work | wires | how does | boiler | need,not | does | does not | work | thermostat | wire | did not | just | need | know
12,3,20381131,10,10,0.9954751175177852,0.6666666666666666,0.03642532337487925,0.036902868586911705,0.0004775452120324569,0.0004775452120324569,where | did | where did | buy | where buy | did not | where does | how did | link | know where,where | did | buy | where did | where buy | did not | where does | know where | link | wire
12,3,20381131,11,12,0.9379933073464949,0.48148148148148145,0.09935678439318615,0.10408199328503269,0.004725208891846536,0.004725208891846536,insulation | wall | barrier | cavity | walls | floor | vapour | vapour barrier | vapor | wall insulation,insulation | wall | cavity | floor | walls | wall insulation | cavity wall | between | board | would
12,3,20381131,12,11,0.641799369920095,0.2903225806451613,0.10435171877576986,0.06361547976674324,-0.04073623900902662,0.04073623900902662,air | roof | vents | attic | cold | vent | warm | ventilation | ridge | soffit,roof | barrier | vapour | vapour barrier | vapor | warm | vapor barrier | warm roof | vents | vent
12,4,20381232,1,1,0.9495212526901933,0.7391304347826086,0.17105294159225315,0.1925840843494139,0.021531142757160754,0.021531142757160754,not | would | house | like | just | good | when | never | years | more,house | not | would | like | just | air | when | no | good | never
12,4,20381232,2,2,0.999245418768071,0.9047619047619048,0.04349362674645996,0.04270483595452671,-0.0007887907919332457,0.0007887907919332457,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | foam board | board
12,4,20381232,3,3,0.9990523292634363,0.7391304347826086,0.0769267016940367,0.07766389821523237,0.0007371965211956655,0.0007371965211956655,what | what would | what happens | happens | what brand | what did | using | know what | what kind | brand,what | what would | what brand | what kind | what happens | brand | using | happens | know what | kind
12,4,20381232,4,4,0.9909737269479256,0.8181818181818182,0.06820912753575384,0.06441067326382753,-0.0037984542719263076,0.0037984542719263076,how | how did | did | cost | how does | how long | know | how would | long | know how,how | cost | how does | how did | know | how long | how would | long | know how | how cost
12,4,20381232,5,8,0.9987281195299335,0.9047619047619048,0.07791626416605801,0.08193438181068505,0.004018117644627034,0.004018117644627034,heat | pump | heat pump | water | heating | gas | boiler | pumps | heat pumps | hot,heat | pump | heat pump | water | gas | heating | boiler | pumps | heat pumps | hot
12,4,20381232,6,6,0.9985203766691388,0.7391304347826086,0.09803736776382442,0.10069505801967367,0.002657690255849249,0.002657690255849249,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | videos,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question
12,4,20381232,7,7,0.9843786565780128,0.7391304347826086,0.05315364135428693,0.04562054544383578,-0.007533095910451149,0.007533095910451149,why | not | why not | use | did | why would | why did | did not | not just | not use,why | why not | not | use | why would | not just | not use | why did | just | would
12,4,20381232,8,11,0.9938189817028331,0.8181818181818182,0.08562071484108098,0.08237615597573188,-0.0032445588653491064,0.0032445588653491064,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,solar | panels | battery | solar panels | power | panel | cost | batteries | inverter | grid
12,4,20381232,9,5,0.9905019081311583,0.8181818181818182,0.08545578776241076,0.0700359309654238,-0.015419856796986958,0.015419856796986958,does | does not | wire | thermostat | not | work | wires | how does | boiler | need,does | not | does not | wire | thermostat | work | need | wires | boiler | not work
12,4,20381232,10,9,0.9624776627299186,0.6,0.03642532337487925,0.0331330623785121,-0.0032922609963671468,0.0032922609963671468,where | did | where did | buy | where buy | did not | where does | how did | link | know where,where | buy | where did | where buy | where does | live | located | where live | based | link
12,4,20381232,11,12,0.9282921552333727,0.6,0.09935678439318615,0.16513518289450432,0.06577839850131817,0.06577839850131817,insulation | wall | barrier | cavity | walls | floor | vapour | vapour barrier | vapor | wall insulation,insulation | wall | roof | barrier | cavity | vapour | walls | floor | between | vapour barrier
12,4,20381232,12,10,0.018199492022313628,0.0,0.10435171877576986,0.043706190728632854,-0.06064552804713701,0.06064552804713701,air | roof | vents | attic | cold | vent | warm | ventilation | ridge | soffit,did | did not | how did | not | why did | did use | what did | where did | use | job
12,5,20381333,1,1,0.9774462766790967,0.9047619047619048,0.17105294159225315,0.16772692466277905,-0.003326016929474096,0.003326016929474096,not | would | house | like | just | good | when | never | years | more,not | would | house | like | just | good | never | years | more | old
12,5,20381333,2,2,0.9993074163939896,0.9047619047619048,0.04349362674645996,0.043500029451611,6.402705151044297e-06,6.402705151044297e-06,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | foam board | expanding
12,5,20381333,3,3,0.9993796229571722,1.0,0.0769267016940367,0.07990222065146964,0.002975518957432935,0.002975518957432935,what | what would | what happens | happens | what brand | what did | using | know what | what kind | brand,what | what would | what happens | happens | what did | did | what brand | using | use | know what
12,5,20381333,4,4,0.9987869756037819,0.8181818181818182,0.06820912753575384,0.06712022147611474,-0.0010889060596390998,0.0010889060596390998,how | how did | did | cost | how does | how long | know | how would | long | know how,how | did | how did | cost | how does | how long | know | long | how would | know how
12,5,20381333,5,8,0.9196939302870764,0.3793103448275862,0.07791626416605801,0.054868351298816044,-0.02304791286724197,0.02304791286724197,heat | pump | heat pump | water | heating | gas | boiler | pumps | heat pumps | hot,heat | pump | heat pump | pumps | heat pumps | gas | air | furnace | electric | loss
12,5,20381333,6,6,0.9987809634219779,0.9047619047619048,0.09803736776382442,0.10243270306885786,0.004395335305033443,0.004395335305033443,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | videos,video | great | great video | thanks | thank | hi | video thanks | thanks video | question | informative
12,5,20381333,7,7,0.9974884683862086,0.8181818181818182,0.05315364135428693,0.05112799670141957,-0.0020256446528673575,0.0020256446528673575,why | not | why not | use | did | why would | why did | did not | not just | not use,why | why not | not | did | use | why did | why would | did not | not just | not use
12,5,20381333,8,11,0.9950616474062749,0.9047619047619048,0.08562071484108098,0.06582435059197739,-0.019796364249103596,0.019796364249103596,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | roof
12,5,20381333,9,9,0.9508717446243258,0.6,0.08545578776241076,0.061524415385521586,-0.02393137237688918,0.02393137237688918,does | does not | wire | thermostat | not | work | wires | how does | boiler | need,does | does not | not | wire | work | how does | thermostat | does work | not work | need
12,5,20381333,10,10,0.9964155110652076,0.7391304347826086,0.03642532337487925,0.037874771750014725,0.0014494483751354773,0.0014494483751354773,where | did | where did | buy | where buy | did not | where does | how did | link | know where,where | did | where did | buy | where buy | wire | did not | where does | live | know where
12,5,20381333,11,12,0.8840732599462569,0.42857142857142855,0.09935678439318615,0.17874182717794662,0.07938504278476047,0.07938504278476047,insulation | wall | barrier | cavity | walls | floor | vapour | vapour barrier | vapor | wall insulation,insulation | roof | wall | air | barrier | walls | floor | between | cavity | vapour
12,5,20381333,12,5,0.2637350528445162,0.1111111111111111,0.10435171877576986,0.08935618778347175,-0.014995530992298112,0.014995530992298112,air | roof | vents | attic | cold | vent | warm | ventilation | ridge | soffit,heating | water | boiler | hot | temperature | room | when | hot water | thermostat | set
12,6,20381434,1,1,0.9928831975508334,0.7391304347826086,0.17105294159225315,0.17217411792425047,0.00112117633199732,0.00112117633199732,not | would | house | like | just | good | when | never | years | more,not | would | house | like | just | when | never | good | years | more
12,6,20381434,2,2,0.9993460623101803,0.9047619047619048,0.04349362674645996,0.042469223066501735,-0.0010244036799582218,0.0010244036799582218,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | cell | use | closed cell | closed | foam insulation | expanding | foam board
