representation,candidate_topic_count,topic_number,topic_npmi_top_10,dominant_comment_count,dominant_comment_share,top_10_terms,top_20_terms
inclusive_primary,12,8,0.34413318147246325,3634,0.08562071484108098,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost | charge | energy | use | solar panel | electric | kwh | need | electricity | more | day
inclusive_primary,12,9,0.15060839005052212,3627,0.08545578776241076,does | does not | wire | thermostat | not | work | wires | how does | boiler | need,does | does not | wire | thermostat | not | work | wires | how does | boiler | need | nest | not work | does work | connected | blue | red | connect | smart | hive | white
inclusive_primary,12,10,0.00489171935742981,1546,0.03642532337487925,where | did | where did | buy | where buy | did not | where does | how did | link | know where,where | did | where did | buy | where buy | did not | where does | how did | link | know where | live | located | where live | video where | wire | where would | what did | did use | based | hi
inclusive_primary,12,11,0.24513373922579934,4217,0.09935678439318615,insulation | wall | barrier | cavity | walls | floor | vapour | vapour barrier | vapor | wall insulation,insulation | wall | barrier | cavity | walls | floor | vapour | vapour barrier | vapor | wall insulation | between | board | vapor barrier | cavity wall | moisture | inside | brick | concrete | damp | plaster
inclusive_primary,12,12,0.2831162092668909,4429,0.10435171877576986,air | roof | vents | attic | cold | vent | warm | ventilation | ridge | soffit,air | roof | vents | attic | cold | vent | warm | ventilation | ridge | soffit | gap | space | warm roof | through | condensation | moisture | ceiling | cold air | fan | flow
inclusive_primary,14,1,0.24109297750944084,2096,0.049383879556110545,insulation | wall | cavity | walls | floor | wall insulation | cavity wall | would | board | between,insulation | wall | cavity | walls | floor | wall insulation | cavity wall | would | board | between | brick | loft | plaster | boards | concrete | gap | damp | external | exterior | wool
inclusive_primary,14,2,0.3471855908937648,1811,0.04266899135310888,foam | spray | spray foam | use | cell | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | use | cell | foam insulation | closed | closed cell | expanding | foam board | board | expanding foam | cell spray | use spray | attic | foam not | seal | cell foam | wool | mortgage
inclusive_primary,14,3,-0.0591598151752249,2904,0.06842117663690125,what | what would | what happens | happens | what brand | know what | using | what kind | brand | kind,what | what would | what happens | happens | what brand | know what | using | what kind | brand | kind | what did | what cost | what size | size | know | called | use | doing | what type | type
inclusive_primary,14,4,0.1041331172520776,2532,0.05965648045614118,how | how does | cost | how did | does | how long | know | how would | long | know how,how | how does | cost | how did | does | how long | know | how would | long | know how | how cost | how know | video how | how fix | fix | work | does cost | how install | not how | insulate
inclusive_primary,14,5,0.36206218076398655,2470,0.05819569775934783,heat | pump | heat pump | gas | pumps | water | heating | heat pumps | boiler | hot,heat | pump | heat pump | gas | pumps | water | heating | heat pumps | boiler | hot | hot water | electric | temperature | radiators | furnace | loss | heater | heat loss | gas boiler | run
inclusive_primary,14,6,0.20628070074571367,3741,0.08814174304361143,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question | informative | job | good | work | would | nice | really | thanks great | video what | love
inclusive_primary,14,7,0.17714189149324241,1759,0.041443818768701554,why | why not | why would | use | just | why did | not just | not | not use | would,why | why not | why would | use | just | why did | not just | not | not use | would | instead | tape | why does | just use | why use | illegal | know why | why no | understand why | understand
inclusive_primary,14,8,0.29211847316545736,4889,0.11518978394552694,solar | would | panels | battery | power | cost | solar panels | panel | batteries | inverter,solar | would | panels | battery | power | cost | solar panels | panel | batteries | inverter | more | grid | energy | use | like | charge | need | electric | install | kwh
inclusive_primary,14,9,0.17158440507950823,4103,0.09667082911198549,not | does | does not | work | know | not work | need | not know | like | not need,not | does | does not | work | know | not work | need | not know | like | not need | would not | sure | just | did not | want | good | not want | people | not use | make
inclusive_primary,14,10,-0.06626412611929909,1210,0.028508823598708856,where | buy | where buy | where did | where does | live | know where | link | located | know,where | buy | where buy | where did | where does | live | know where | link | located | know | where live | video where | based | where would | tool | uk | where not | goes | product | purchase
inclusive_primary,14,11,0.2279991271188257,2061,0.04855924416275947,roof | barrier | vapour | vapour barrier | vapor | vapor barrier | warm | warm roof | vents | vent,roof | barrier | vapour | vapour barrier | vapor | vapor barrier | warm | warm roof | vents | vent | cold | between | flat | moisture | cold roof | attic | joists | flat roof | ridge | osb
inclusive_primary,14,12,0.133790027102224,9102,0.21445232429375868,house | air | no | when | just | cold | never | like | years | old,house | air | no | when | just | cold | never | like | years | old | windows | room | outside | heating | more | water | open | problem | good | damp
inclusive_primary,14,13,0.3279502862580853,2144,0.05051480809556346,thermostat | wire | boiler | wires | nest | connected | connect | red | blue | smart,thermostat | wire | boiler | wires | nest | connected | connect | red | blue | smart | need | white | hive | honeywell | control | old | set | furnace | just | common
inclusive_primary,14,14,-0.009560776390561318,1621,0.038192399217774425,did | did not | how did | why did | did use | what did | where did | use | did cost | job,did | did not | how did | why did | did use | what did | where did | use | did cost | job | not | cost | years | ago | install | before | say | years ago | not know | video did
inclusive_primary,16,1,0.1263696284566999,5105,0.12027896237306505,house | not | just | when | never | years | no | like | good | more,house | not | just | when | never | years | no | like | good | more | old | time | heating | new | way | over | people | windows | problem | really
inclusive_primary,16,2,0.3471855908937648,1636,0.03854581438635346,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board | board | expanding foam | cell spray | use spray | foam not | attic | seal | cell foam | wool | mortgage
inclusive_primary,16,3,-0.059159815175224915,2806,0.06611219753551822,what | what happens | happens | know what | what brand | using | what would | what kind | brand | kind,what | what happens | happens | know what | what brand | using | what would | what kind | brand | kind | what cost | what did | what size | size | called | know | cost | what type | use | doing
inclusive_primary,16,4,0.04102044504485697,2369,0.05581603562424899,how | cost | how did | how does | how long | know | long | how would | know how | how cost,how | cost | how did | how does | how long | know | long | how would | know how | how cost | how know | video how | how fix | fix | how install | not how | did cost | does cost | insulate | set
inclusive_primary,16,5,0.36206218076398655,2965,0.069858398322456,heat | pump | heat pump | gas | water | pumps | heating | heat pumps | boiler | hot,heat | pump | heat pump | gas | water | pumps | heating | heat pumps | boiler | hot | hot water | temperature | electric | air | radiators | furnace | heater | loss | heat loss | run
inclusive_primary,16,6,0.20628070074571367,3750,0.08835379214475886,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question | informative | thanks great | video what | job | helpful | nice | excellent | sharing | good | really
inclusive_primary,16,7,0.18762452666986063,1754,0.04132601371250854,why | why not | not | use | why would | not just | not use | why did | just | instead,why | why not | not | use | why would | not just | not use | why did | just | instead | understand | just use | why use | why does | know why | would not | understand why | illegal | not understand | why no
inclusive_primary,16,8,0.34413318147246325,3400,0.08010743821124802,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost | charge | energy | use | solar panel | electric | kwh | more | electricity | need | day
inclusive_primary,16,9,0.12262416254478298,2435,0.05737106236599675,does | does not | not | work | how does | does work | not work | mean | need | what does,does | does not | not | work | how does | does work | not work | mean | need | what does | matter | not need | does cost | does mean | why does | know | does know | where does | does need | foam does
inclusive_primary,16,10,0.03406600856543833,1714,0.04038357326296445,did | did not | how did | not | why did | did use | what did | where did | use | did cost,did | did not | how did | not | why did | did use | what did | where did | use | did cost | job | not know | cost | install | say | work | video did | know | did install | not use
inclusive_primary,16,11,-0.11385381085876026,1043,0.024574134721862262,where | buy | where buy | where did | where does | live | know where | link | located | where live,where | buy | where buy | where did | where does | live | know where | link | located | where live | video where | know | based | where would | tool | uk | where not | goes | door | purchase
inclusive_primary,16,12,0.2831162092668909,4057,0.09558702259500977,roof | air | vents | attic | cold | vent | warm | ridge | ventilation | soffit,roof | air | vents | attic | cold | vent | warm | ridge | ventilation | soffit | gap | space | warm roof | ceiling | through | fan | cold air | between | condensation | air gap
inclusive_primary,16,13,0.2734620976608829,3275,0.07716231180642273,insulation | wall | cavity | walls | floor | wall insulation | cavity wall | between | board | brick,insulation | wall | cavity | walls | floor | wall insulation | cavity wall | between | board | brick | damp | loft | plaster | boards | external | concrete | inside | under | internal | exterior
inclusive_primary,16,14,0.29654597272330907,1843,0.043422943712744154,wire | thermostat | wires | boiler | nest | connected | connect | blue | red | need,wire | thermostat | wires | boiler | nest | connected | connect | blue | red | need | white | smart | hive | furnace | honeywell | control | common | old | terminal | blue wire
inclusive_primary,16,15,0.26243455771928476,1600,0.03769761798176378,barrier | vapour | vapour barrier | vapor | vapor barrier | use | moisture | inside | no vapour | joists,barrier | vapour | vapour barrier | vapor | vapor barrier | use | moisture | inside | no vapour | joists | foil | drywall | osb | radiant | between | radiant barrier | plasterboard | no | plastic | steve
inclusive_primary,16,16,0.13872539402727954,2691,0.06340268124307895,would | like | would not | would like | work | recommend | what would | how would | why would | love,would | like | would not | would like | work | recommend | what would | how would | why would | love | would recommend | would need | would love | better | would work | think | could | would use | looks | would never
inclusive_primary,20,1,0.16492694135319133,1302,0.030676436632660273,not | did | did not | know | not know | just | sure | not need | does not | want,not | did | did not | know | not know | just | sure | not need | does not | want | not want | need | people | not sure | when | would not | could | think | could not | thing
inclusive_primary,20,2,0.3690121948606387,1460,0.034399076408359444,foam | spray | spray foam | cell | foam insulation | closed | closed cell | foam board | expanding | board,foam | spray | spray foam | cell | foam insulation | closed | closed cell | foam board | expanding | board | expanding foam | cell spray | use spray | foam not | attic | cell foam | seal | mortgage | rot | toxic
inclusive_primary,20,3,-0.1646745234926762,2653,0.06250736281601206,what | what happens | happens | what brand | know what | what would | using | what kind | what did | brand,what | what happens | happens | what brand | know what | what would | using | what kind | what did | brand | kind | what cost | what size | size | called | cost | know | doing | what type | type
inclusive_primary,20,4,0.10200048557532773,2201,0.05185778573616379,how | how did | cost | did | how does | how long | know | long | how would | know how,how | how did | cost | did | how does | how long | know | long | how would | know how | how cost | how know | video how | how fix | did cost | fix | how install | not how | insulate | how connect
inclusive_primary,20,5,0.08316669902038262,1788,0.04212708809462102,use | not use | tape | did use | just use | just | would use | could use | used | instead,use | not use | tape | did use | just use | just | would use | could use | used | instead | window | should use | rockwool | never use | tool | plastic | what use | could | use foam | better
inclusive_primary,20,6,0.20628070074571367,3428,0.0807671465259289,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question | informative | thanks great | job | video what | helpful | nice | excellent | really | sharing | good
inclusive_primary,20,7,0.03997365439321704,1457,0.03432839337464364,why | why not | why would | why did | not just | just | why does | instead | illegal | know why,why | why not | why would | why did | not just | just | why does | instead | illegal | know why | why no | not use | why use | understand why | not | reason why | question why | understand | explain | question
inclusive_primary,20,8,0.3122726669809401,1643,0.03871074146502368,heat | pump | heat pump | pumps | heat pumps | gas | furnace | air | electric | loss,heat | pump | heat pump | pumps | heat pumps | gas | furnace | air | electric | loss | heat loss | unit | cost | source | source heat | electricity | run | gas furnace | expensive | gas boiler
inclusive_primary,20,9,0.11261707791295138,1643,0.03871074146502368,does | does not | work | how does | does work | not work | mean | what does | matter | not,does | does not | work | how does | does work | not work | mean | what does | matter | not | does cost | why does | does mean | where does | does know | does need | does matter | does heat | foam does | window
inclusive_primary,20,10,-0.07191299803202818,1202,0.02832033550880004,where | buy | where did | where buy | did | where does | live | know where | link | located,where | buy | where did | where buy | did | where does | live | know where | link | located | where live | video where | based | where would | tool | where not | uk | door | goes | purchase
inclusive_primary,20,11,0.3441331814724633,2335,0.05501496124213651,solar | panels | battery | solar panels | power | panel | cost | batteries | inverter | grid,solar | panels | battery | solar panels | power | panel | cost | batteries | inverter | grid | energy | charge | more | solar panel | electric | kwh | electricity | need | day | price
inclusive_primary,20,12,0.2831162092668909,3599,0.08479607944772989,roof | air | vents | attic | cold | vent | warm | ridge | ventilation | soffit,roof | air | vents | attic | cold | vent | warm | ridge | ventilation | soffit | gap | space | warm roof | ceiling | fan | through | condensation | between | cold air | flat
inclusive_primary,20,13,0.259789622993454,2436,0.05739462337723535,insulation | wall | cavity | floor | wall insulation | walls | cavity wall | between | board | loft,insulation | wall | cavity | floor | wall insulation | walls | cavity wall | between | board | loft | brick | boards | should | under | concrete | external | gap | no insulation | plaster | no
inclusive_primary,20,14,0.3879607326127356,1486,0.035011662700563106,wire | thermostat | wires | nest | blue | red | connected | connect | white | furnace,wire | thermostat | wires | nest | blue | red | connected | connect | white | furnace | need | old | smart | boiler | honeywell | no | common | blue wire | terminal | ac
inclusive_primary,20,15,0.2744868984727176,1359,0.03201941427326061,barrier | vapour | vapour barrier | vapor | vapor barrier | moisture | inside | no vapour | no | joists,barrier | vapour | vapour barrier | vapor | vapor barrier | moisture | inside | no vapour | no | joists | drywall | radiant | between | radiant barrier | foil | osb | concrete | plasterboard | exterior | walls
inclusive_primary,20,16,0.1630847554486049,2180,0.051363004500153145,would | would not | recommend | work | why would | what would | how would | would recommend | love | would need,would | would not | recommend | work | why would | what would | how would | would recommend | love | would need | would like | would love | think | better | would work | could | would use | say | would never | would better
inclusive_primary,20,17,0.1282301010440441,1361,0.032066536295737816,never | seen | never seen | never knew | knew | thank | heard | never heard | years | would never,never | seen | never seen | never knew | knew | thank | heard | never heard | years | would never | before | never use | way | work | years never | people | never thought | thought | seen before | lol
inclusive_primary,20,18,0.2873768070484747,3730,0.0878825719199868,heating | water | boiler | hot | temperature | room | hot water | when | radiators | radiator,heating | water | boiler | hot | temperature | room | hot water | when | radiators | radiator | set | flow | turn | temp | cold | gas | valve | more | underfloor | day
inclusive_primary,20,19,0.14207856018903336,2143,0.05049124708432486,like | looks | looks like | good | just | job | would like | more | look | really,like | looks | looks like | good | just | job | would like | more | look | really | product | stuff | not like | tape | people | idea | look like | nice | way | make
inclusive_primary,20,20,0.18631412771261327,3037,0.07155479113163538,house | old | years | damp | no | walls | windows | built | new | year,house | old | years | damp | no | walls | windows | built | new | year | ago | old house | problem | live | years ago | houses | winter | humidity | when | build
