comment_id,video_id,dominant_topic_number,secondary_topic_number,dominant_relative_weight,secondary_relative_weight,dominance_margin,topic_weight_entropy,effective_topic_count,dominant_topic_label,secondary_topic_label
Ugwdar1gaUev1u8ZwTN4AaABAg,UUalCAU4W8g,2,12,0.7292981459343538,0.06733391888978553,0.6619642270445683,1.0512512180426852,2.8612289005280047,Spray foam and foam insulation,Roof and attic ventilation and airflow
UgxlJ1xZr2R4sSZrDoF4AaABAg,UUalCAU4W8g,2,1,0.7825079943372081,0.1755414966152188,0.6069664977219893,0.6947999739693279,2.0033083200504342,Spray foam and foam insulation,Situated household retrofit experience and building context
UgxGQFyLjGTTQFrvcah4AaABAg,UUalCAU4W8g,12,15,0.32086653643506063,0.31289881256854024,0.007967723866520393,1.355162431047787,3.8773907141220847,Roof and attic ventilation and airflow,Vapour barriers and moisture control
Ugw0uVlJWDwxWd4Xtyl4AaABAg,UUalCAU4W8g,1,5,0.5261855899946384,0.1796090320083311,0.34657655798630727,1.365496993103788,3.917669623022027,Situated household retrofit experience and building context,Heat pumps and heating systems
Ugy1OB_rjGgnE6nnOG94AaABAg,UUalCAU4W8g,2,5,0.9117405403085763,0.06848738938800861,0.8432531509205677,0.3618039662361972,1.435917426070401,Spray foam and foam insulation,Heat pumps and heating systems
UgzBEqx8Vk2_0NaCbl94AaABAg,UUalCAU4W8g,16,13,0.4696887838966705,0.3669334189601247,0.1027553649365458,1.0188048952696647,2.7698824854378477,"Prospective choices, recommendations and alternatives","Wall, cavity and floor insulation"
UgzSx2WAo2_wiaOdS8p4AaABAg,UUalCAU4W8g,2,4,0.5070240203139338,0.24226664834756442,0.2647573719663694,1.1354882516483942,3.1126929494120725,Spray foam and foam insulation,"Implementation, cost and how-to questions"
UgzjLCblRtVfmtpRD2N4AaABAg,UUalCAU4W8g,2,4,0.5157722845777364,0.2024481315426371,0.3133241530350993,1.5315358828440861,4.6252752506338615,Spray foam and foam insulation,"Implementation, cost and how-to questions"
Ugz1NpKCrmNqT-pmPeF4AaABAg,UUalCAU4W8g,13,15,0.6923702828470786,0.13276652126897007,0.5596037615781085,1.03120282877825,2.8044370643944188,"Wall, cavity and floor insulation",Vapour barriers and moisture control
UgwWZHbxvAB81AtSGDJ4AaABAg,UUalCAU4W8g,4,1,0.7761826531199226,0.22381734688007743,0.5523653062398453,0.5316971640375526,1.7018181235929877,"Implementation, cost and how-to questions",Situated household retrofit experience and building context
Ugz7_Ncxa0hUtfGHcY54AaABAg,UUalCAU4W8g,9,13,0.476338638415922,0.36784990900261727,0.10848872941330473,1.2187163432183463,3.382842536583819,Performance checking and troubleshooting,"Wall, cavity and floor insulation"
UgyDy8f07W4groIWxgd4AaABAg,UUalCAU4W8g,1,16,1.0,0.0,1.0,-0.0,1.0,Situated household retrofit experience and building context,"Prospective choices, recommendations and alternatives"
Ugyq8rkHWJCaWF_YN6h4AaABAg,UUalCAU4W8g,13,1,0.407844205661579,0.24410883362989166,0.1637353720316873,1.5841933617628714,4.875357142482661,"Wall, cavity and floor insulation",Situated household retrofit experience and building context
UgzOo78yD48OxUABfJZ4AaABAg,UUalCAU4W8g,2,13,0.33850463846620155,0.2468353896718437,0.09166924879435784,1.8628007736872927,6.44175342285689,Spray foam and foam insulation,"Wall, cavity and floor insulation"
UgwMUvMWzamfQ0pkuwN4AaABAg,UUalCAU4W8g,13,16,0.5593911732214254,0.24322907302586236,0.316162100195563,1.0728122885073255,2.923589927873949,"Wall, cavity and floor insulation","Prospective choices, recommendations and alternatives"
Ugw5mkKfbB7yKiWMbZd4AaABAg,UUalCAU4W8g,3,1,0.8359415879954143,0.08845557255859905,0.7474860154368153,0.6043415142380041,1.8300467523111514,Clarification and specification questions,Situated household retrofit experience and building context
Ugy9NTwtl_VKaFK58R14AaABAg,UUalCAU4W8g,13,1,0.7577416749604262,0.24225832503957376,0.5154833499208524,0.5536691025779739,1.7396241820634724,"Wall, cavity and floor insulation",Situated household retrofit experience and building context
UgxzRoWlOUw9GepP6Y94AaABAg,UUalCAU4W8g,4,16,0.2836527786463884,0.27028259970966473,0.013370178936723653,1.7309170966148983,5.6458293058405395,"Implementation, cost and how-to questions","Prospective choices, recommendations and alternatives"
Ugz53h4-dvbS2_fJocB4AaABAg,UUalCAU4W8g,1,16,0.20533485643455418,0.17527090954093763,0.03006394689361655,2.0205407662746557,7.542402507961408,Situated household retrofit experience and building context,"Prospective choices, recommendations and alternatives"
UgyK4UN8wVhlXD50ZVV4AaABAg,UUalCAU4W8g,7,9,0.4298318561908456,0.37868555381322655,0.051146302377619024,1.3041415292661283,3.6845246790154933,"Alternative methods, challenges and ""why"" questions",Performance checking and troubleshooting
UgwAfOh-eVuk5pIhsix4AaABAg,UUalCAU4W8g,2,10,0.6753925335348855,0.3221615821692557,0.35323095136562976,0.6446864214775543,1.9053894463749605,Spray foam and foam insulation,"Implementation follow-up, outcomes and retrospective questions"
UgyPOhLLtD1ZAixFycF4AaABAg,UUalCAU4W8g,2,16,1.0,0.0,1.0,-0.0,1.0,Spray foam and foam insulation,"Prospective choices, recommendations and alternatives"
UgwY2WGSkri1UTe0Qwd4AaABAg,UUalCAU4W8g,3,13,0.2777504248629147,0.2213511916169019,0.05639923324601279,2.0339866021670776,7.644501277767168,Clarification and specification questions,"Wall, cavity and floor insulation"
UgwAVZdYbsRGBWZ7Da14AaABAg,UUalCAU4W8g,2,1,0.6237419912182733,0.14978210742390746,0.4739598837943659,1.2942439516020294,3.6482366876925107,Spray foam and foam insulation,Situated household retrofit experience and building context
UgxjkS2G4jgIoUYVCbh4AaABAg,UUalCAU4W8g,2,6,0.374454003354565,0.2201830408738667,0.15427096248069833,1.5964448363904118,4.935454847856876,Spray foam and foam insulation,"Praise, gratitude and social endorsement"
UgwzEPXjH2YrPPHPOzJ4AaABAg,UUalCAU4W8g,10,2,0.4530118474247917,0.24987713231025924,0.2031347151145325,1.417532322098175,4.126923945570336,"Implementation follow-up, outcomes and retrospective questions",Spray foam and foam insulation
UgyH8lBIOyRGwatA6Zh4AaABAg,UUalCAU4W8g,8,1,0.5232710715052167,0.2218622047105132,0.30140886679470347,1.4792875030627148,4.389816835354247,"Solar PV, batteries and power systems",Situated household retrofit experience and building context
UgzVb7JOPuQC4Z36q0Z4AaABAg,UUalCAU4W8g,2,1,0.4754852809809688,0.4221753050956374,0.05330997588533143,1.0606831949836415,2.888343617216786,Spray foam and foam insulation,Situated household retrofit experience and building context
UgwYtw2QtfxjEI10C9h4AaABAg,UUalCAU4W8g,13,5,0.5225003285035821,0.45083944458802266,0.07166088391555941,0.8068718813084081,2.240887250259676,"Wall, cavity and floor insulation",Heat pumps and heating systems
Ugzg-kSWkj8ctTAIeMd4AaABAg,UUalCAU4W8g,13,16,0.40508290631204086,0.2708137725131841,0.13426913379885674,1.5610796856859963,4.763962051046326,"Wall, cavity and floor insulation","Prospective choices, recommendations and alternatives"
Ugx5sjB8Z9ns0cWp6ap4AaABAg,UUalCAU4W8g,2,12,0.8719394246045651,0.08393117129071452,0.7880082533138506,0.48474323278871934,1.623758027492437,Spray foam and foam insulation,Roof and attic ventilation and airflow
UgwCkf8luSm3sQzKV3Z4AaABAg,UUalCAU4W8g,2,10,0.3579776219505989,0.3575886564093557,0.0003889655412431803,1.4531369303597395,4.276508605699587,Spray foam and foam insulation,"Implementation follow-up, outcomes and retrospective questions"
Ugy0dCPrTTaMTB0lWzt4AaABAg,UUalCAU4W8g,2,1,0.49483590279166,0.1361534743550265,0.3586824284366335,1.449350416006114,4.260346163451487,Spray foam and foam insulation,Situated household retrofit experience and building context
UgzC48_Io-l3Q7K1qaF4AaABAg,UUalCAU4W8g,2,13,0.6525201935870528,0.28773419871755934,0.3647859948694935,0.8466243830846204,2.3317624153421552,Spray foam and foam insulation,"Wall, cavity and floor insulation"
UgzPq1fggERxYz7SD3F4AaABAg,UUalCAU4W8g,3,6,0.2788676420977151,0.15047790793314453,0.12838973416457056,2.1209041574916783,8.338673554443599,Clarification and specification questions,"Praise, gratitude and social endorsement"
UgxxR1E7Q1D6fSgx3ih4AaABAg,UUalCAU4W8g,2,16,0.6438087422399577,0.19221808462281384,0.4515906576171438,0.9600248399899174,2.6117613487429328,Spray foam and foam insulation,"Prospective choices, recommendations and alternatives"
Ugzx4z5AvzbZ5VETvgV4AaABAg,UUalCAU4W8g,3,2,0.39595449721190784,0.29451572328186587,0.10143877393004197,1.4753149606750786,4.372412694134226,Clarification and specification questions,Spray foam and foam insulation
UgwG3rNzVK5rrPmwMWx4AaABAg,UUalCAU4W8g,9,13,0.2821227162976851,0.23204028462746862,0.050082431670216476,1.6849766704285032,5.392325130247398,Performance checking and troubleshooting,"Wall, cavity and floor insulation"
UgwwZRWOtIBCwyMGcEt4AaABAg,UUalCAU4W8g,10,2,0.4426774376977507,0.34272591230888516,0.09995152538886554,1.1323823955681045,3.103040370608688,"Implementation follow-up, outcomes and retrospective questions",Spray foam and foam insulation
UgzLetcjHqF3PHkNrmV4AaABAg,UUalCAU4W8g,2,12,0.8852566086415562,0.08016322449724088,0.8050933841443153,0.4505121396873983,1.5691155861117,Spray foam and foam insulation,Roof and attic ventilation and airflow
UgyvLOs5G5k5meZbcFp4AaABAg,UUalCAU4W8g,1,7,0.46084058842836023,0.16319840659008578,0.29764218183827446,1.600422259207919,4.955124329575466,Situated household retrofit experience and building context,"Alternative methods, challenges and ""why"" questions"
UgzRBfyj-dVItmCgmN54AaABAg,UUalCAU4W8g,12,1,0.4871452166968203,0.14343060545915995,0.34371461123766034,1.7406285782008502,5.700925774326366,Roof and attic ventilation and airflow,Situated household retrofit experience and building context
UgxvX3D80nLYJ5EHfQh4AaABAg,UUalCAU4W8g,16,1,0.8371915821199236,0.16280841788007644,0.6743831642398472,0.4442976721943598,1.5593946049547078,"Prospective choices, recommendations and alternatives",Situated household retrofit experience and building context
Ugyyuagktd_MFlPmeLR4AaABAg,UUalCAU4W8g,2,1,0.7727817354584072,0.06834080815006184,0.7044409273083454,0.9594180179801509,2.610176955243301,Spray foam and foam insulation,Situated household retrofit experience and building context
UgyvVtMfNTFE7V-R0VJ4AaABAg,UUalCAU4W8g,2,9,0.6379452838290133,0.17613520803878374,0.46181007579022954,1.1947431615431843,3.3027093987738003,Spray foam and foam insulation,Performance checking and troubleshooting
Ugz0-yKZYEZ0F2UV3eB4AaABAg,UUalCAU4W8g,4,9,0.6750149459043657,0.23503626534235345,0.4399786805620123,0.9155489150993679,2.498146145758133,"Implementation, cost and how-to questions",Performance checking and troubleshooting
Ugxw6wVU7Y81BX978Xh4AaABAg,UUalCAU4W8g,16,12,0.6760769370302384,0.144027041861059,0.5320498951691794,1.1384869004121065,3.1220408307784986,"Prospective choices, recommendations and alternatives",Roof and attic ventilation and airflow
UgySfvPB6eQ4QFxib_N4AaABAg,UUalCAU4W8g,2,13,0.8828792153168702,0.09632002505840981,0.7865591902584603,0.4210682645329201,1.5235882819012652,Spray foam and foam insulation,"Wall, cavity and floor insulation"
UgwNDZpSCU7ObIqFqr54AaABAg,UUalCAU4W8g,14,8,0.19542436052420037,0.12705359684720127,0.0683707636769991,2.251864849393715,9.505445542615808,Thermostat wiring and smart heating controls,"Solar PV, batteries and power systems"
UgwihXa8gTOxpZOPCAF4AaABAg,UUalCAU4W8g,16,12,0.5668011119236135,0.19479045967974903,0.3720106522438644,1.201644177307342,3.3255802737667612,"Prospective choices, recommendations and alternatives",Roof and attic ventilation and airflow
UgzbIOOZehaeU-037XZ4AaABAg,UUalCAU4W8g,3,12,0.36371831863723836,0.31177616251949897,0.05194215611773939,1.4246365972334363,4.156347140226336,Clarification and specification questions,Roof and attic ventilation and airflow
UgzSkB7KRPEo4RwNsRp4AaABAg,UUalCAU4W8g,1,13,0.3877825617446644,0.2704519360735645,0.11733062567109992,1.7010081235881582,5.479468589770523,Situated household retrofit experience and building context,"Wall, cavity and floor insulation"
Ugz2McitwW1dPyLG6Bt4AaABAg,UUalCAU4W8g,1,13,0.45124962656156264,0.18678356859290754,0.2644660579686551,1.4558750155921834,4.288234096129759,Situated household retrofit experience and building context,"Wall, cavity and floor insulation"
Ugz3cVRtI_T-6c-vw1B4AaABAg,UUalCAU4W8g,2,13,0.4191364775047059,0.2403382142796102,0.1787982632250957,1.639575729387004,5.152982789219585,Spray foam and foam insulation,"Wall, cavity and floor insulation"
Ugx1MUqhZC2ImRSlVKd4AaABAg,UUalCAU4W8g,3,2,0.5026516247529021,0.42987946752268935,0.0727721572302128,0.9151322802116899,2.49710554770907,Clarification and specification questions,Spray foam and foam insulation
UgxBm413_ygtmKoNio54AaABAg,UUalCAU4W8g,13,1,0.6636480467968899,0.33635195320310995,0.32729609359378,0.6385860447332872,1.8938012350724198,"Wall, cavity and floor insulation",Situated household retrofit experience and building context
UgzaM56shauQo3PtW4N4AaABAg,UUalCAU4W8g,4,15,0.4869409647475964,0.11264351672122326,0.37429744802637316,1.7652088410027922,5.842792445312826,"Implementation, cost and how-to questions",Vapour barriers and moisture control
UgwM986t_JwZQ_Iu1Sd4AaABAg,UUalCAU4W8g,16,1,0.5671162768884775,0.2509070519776314,0.31620922491084613,1.1104203556520926,3.035634172258675,"Prospective choices, recommendations and alternatives",Situated household retrofit experience and building context
UgwylVV9D7TYLs0CpPV4AaABAg,UUalCAU4W8g,2,10,0.6339906382813276,0.31678383719724623,0.3172068010840814,0.8653025312933471,2.3757247083374047,Spray foam and foam insulation,"Implementation follow-up, outcomes and retrospective questions"
UgxIOMTWqppqD14SLyt4AaABAg,UUalCAU4W8g,13,16,0.6493061024577261,0.15381819600341773,0.4954879064543084,1.120896668846904,3.067603595040149,"Wall, cavity and floor insulation","Prospective choices, recommendations and alternatives"
UgyMaIRkbKVEAc4ZN9F4AaABAg,UUalCAU4W8g,15,1,0.37665151586453355,0.19450016184880844,0.1821513540157251,1.998337340317204,7.376780820893837,Vapour barriers and moisture control,Situated household retrofit experience and building context
Ugy3giArY8nnJ55E_U54AaABAg,UUalCAU4W8g,7,13,0.8933919884134002,0.05372542760473187,0.8396665608086683,0.4794398983810836,1.6151694897490552,"Alternative methods, challenges and ""why"" questions","Wall, cavity and floor insulation"
UgypI7uhk_jW3yvRpSh4AaABAg,UUalCAU4W8g,3,13,0.7529736343730011,0.0864137851967927,0.6665598491762085,0.9742465419925157,2.649170420161793,Clarification and specification questions,"Wall, cavity and floor insulation"
UgwYVPps3mgXY4BKEu14AaABAg,UUalCAU4W8g,9,4,0.3127206854120461,0.2691618347381688,0.043558850673877325,1.4608306498402148,4.309537758861959,Performance checking and troubleshooting,"Implementation, cost and how-to questions"
UgwO9zUzx3YjQPpK2UR4AaABAg,UUalCAU4W8g,15,8,0.2768088309070069,0.19605552393315107,0.08075330697385585,1.9046609241850758,6.7171296252473836,Vapour barriers and moisture control,"Solar PV, batteries and power systems"
UgzYQpm1P4casB9CUwl4AaABAg,UUalCAU4W8g,1,12,0.7197333516961392,0.13608859038025337,0.5836447613158858,0.88530686264435,2.4237280289745877,Situated household retrofit experience and building context,Roof and attic ventilation and airflow
Ugy1qur9zp6mM4S0g-R4AaABAg,UUalCAU4W8g,13,15,0.33288958131749896,0.20416758554497794,0.12872199577252103,1.9987530379123997,7.379847968400121,"Wall, cavity and floor insulation",Vapour barriers and moisture control
Ugy2SyCMjl2sU635-SF4AaABAg,UUalCAU4W8g,10,2,0.34476708218066426,0.26985717654980085,0.07490990563086342,1.5634911377560383,4.775463979797132,"Implementation follow-up, outcomes and retrospective questions",Spray foam and foam insulation
Ugx0oEKHc1m6-BUlm754AaABAg,UUalCAU4W8g,13,15,0.27650044144152097,0.22507086628355097,0.05142957515797,2.055052388683948,7.807246873311252,"Wall, cavity and floor insulation",Vapour barriers and moisture control
UgwUH5-c6WeydjB6pGp4AaABAg,UUalCAU4W8g,3,13,0.43495298084970097,0.2449611160488832,0.18999186480081776,1.5752555755130122,4.831976395160225,Clarification and specification questions,"Wall, cavity and floor insulation"
UgxTr-D3rKUDuoW0vyh4AaABAg,UUalCAU4W8g,12,9,0.38324544474356603,0.16124823145453318,0.22199721328903285,1.8170598276467564,6.15373877284095,Roof and attic ventilation and airflow,Performance checking and troubleshooting
Ugy9i1g_LVXeQ2mqLmJ4AaABAg,UUalCAU4W8g,16,1,0.863728749095934,0.10553915188290876,0.7581895972130253,0.4714823178866424,1.602367651904029,"Prospective choices, recommendations and alternatives",Situated household retrofit experience and building context
UgypP4lNkv60gYLkojR4AaABAg,UUalCAU4W8g,1,15,0.25649978219566916,0.17742824491061177,0.07907153728505739,2.0787064608675516,7.99412151434743,Situated household retrofit experience and building context,Vapour barriers and moisture control
UgxmCLhORSXAJZENsOp4AaABAg,UUalCAU4W8g,1,9,0.3937770648882436,0.23307422481278142,0.16070284007546218,1.5131361154467908,4.540949428667564,Situated household retrofit experience and building context,Performance checking and troubleshooting
UgzF5vj8JvOfltprYHp4AaABAg,UUalCAU4W8g,13,1,0.4821097529290169,0.15841578738079237,0.32369396554822455,1.586684488555575,4.887517415386522,"Wall, cavity and floor insulation",Situated household retrofit experience and building context
Ugzzfn3yCXK7OKLTID14AaABAg,UUalCAU4W8g,14,1,0.5059821798376986,0.23049024426517292,0.2754919355725256,1.2824649053714139,3.605516037287901,Thermostat wiring and smart heating controls,Situated household retrofit experience and building context
Ugy3OqW5Wl8mwaoS39p4AaABAg,UUalCAU4W8g,1,9,0.25606683805226665,0.25216489016216265,0.0039019478901040072,1.7211441103473408,5.590921437513106,Situated household retrofit experience and building context,Performance checking and troubleshooting
UgzRxRt1EPrpSdhfslt4AaABAg,UUalCAU4W8g,1,5,0.4505774572647914,0.24852611502407315,0.20205134224071827,1.4019125219079935,4.062963046786513,Situated household retrofit experience and building context,Heat pumps and heating systems
UgxUAqnaqYApfM2tf5x4AaABAg,UUalCAU4W8g,1,13,0.6284572124685253,0.11433558680935121,0.5141216256591741,1.3039941038215954,3.6839815263650415,Situated household retrofit experience and building context,"Wall, cavity and floor insulation"
Ugxl0o5TqUzJE4xX1JN4AaABAg,UUalCAU4W8g,3,5,0.930567233022322,0.03256012160610898,0.898007111416213,0.3171705885099978,1.373236810367052,Clarification and specification questions,Heat pumps and heating systems
UgziEvG9JXCKINfx64x4AaABAg,UUalCAU4W8g,2,16,0.5627567278744036,0.1673753192640133,0.3953814086103903,1.2775385796880743,3.5877977698429455,Spray foam and foam insulation,"Prospective choices, recommendations and alternatives"
UgxdsvsR-JXFmVBjSnJ4AaABAg,UUalCAU4W8g,2,10,0.5611002254911748,0.2613004326158528,0.299799792875322,0.9818538804458019,2.6694004067842587,Spray foam and foam insulation,"Implementation follow-up, outcomes and retrospective questions"
UgzAyMU6m4lz4UCCUAZ4AaABAg,UUalCAU4W8g,9,13,0.9989633614634718,0.0010366385365281673,0.9979267229269436,0.008159644686640906,1.0081930253169389,Performance checking and troubleshooting,"Wall, cavity and floor insulation"
UgzVuw14GlGP4GGeSZp4AaABAg,UUalCAU4W8g,2,16,0.5526770460436495,0.3288532746982713,0.22382377134537823,1.0756627818860176,2.931935490439925,Spray foam and foam insulation,"Prospective choices, recommendations and alternatives"
UgzIQeCW4WUJ4OrT2kF4AaABAg,UUalCAU4W8g,12,2,0.27811229812175625,0.23347648879574703,0.04463580932600922,1.7653473393065844,5.843601718196078,Roof and attic ventilation and airflow,Spray foam and foam insulation
UgzPYd_4atJuDmcKL194AaABAg,UUalCAU4W8g,3,2,0.49363734266493914,0.43205998655926553,0.06157735610567361,0.9718672122637225,2.6428746630356437,Clarification and specification questions,Spray foam and foam insulation
Ugzx9yu1wSYR_Ra4ZDB4AaABAg,UUalCAU4W8g,12,13,0.8312353562829367,0.07133438176011242,0.7599009745228242,0.6687975857550916,1.9518889299957964,Roof and attic ventilation and airflow,"Wall, cavity and floor insulation"
Ugx4CltKLCYcLFKZXHJ4AaABAg,UUalCAU4W8g,13,15,0.3870724520665974,0.28453019557483605,0.10254225649176135,1.5028728686681818,4.49458288670117,"Wall, cavity and floor insulation",Vapour barriers and moisture control
