metric,metric_family,group_count,valid_video_count,kruskal_h,p_value,epsilon_squared
duration_minutes,video_context,16,1158,144.62799755750004,2.8023058105037056e-23,0.11350963008537657
view_count,reach,16,1158,72.36660787457247,1.6865380993633022e-09,0.05023345698298815
like_count,reach,16,1158,105.61532492444674,1.1145782319369921e-15,0.0793479202490777
api_comment_count,discussion_volume,16,1158,159.340270754646,3.3299511224803674e-26,0.12639253130879685
likes_per_1000_views,engagement_rate,16,1158,116.13128041857604,1.0624211849479862e-17,0.0885562875819405
api_comments_per_1000_views,discussion_rate,16,1158,110.0442774372249,1.581254380043501e-16,0.08322616237935632
views_per_day,age_normalised_provisional,16,1158,80.1122600269614,6.662174348230733e-11,0.05701598951572802
api_comments_per_day,age_normalised_provisional,16,1158,154.94203903223885,2.509289324986867e-25,0.1225411900457433
