topic_number,topic_label,metric,median_rho_10,q025_10,q975_10,positive_fraction_10,negative_fraction_10,median_rho_20,q025_20,q975_20,positive_fraction_20,negative_fraction_20,same_median_sign,minimum_absolute_median_rho,resampling_interval_excludes_zero_10,resampling_interval_excludes_zero_20
1,Situated household retrofit experience and building context,api_comment_count,0.07086952961027272,0.03689161663336097,0.11142103411160455,1.0,0.0,0.1880082063657611,0.15669509705553994,0.22786256007153927,1.0,0.0,True,0.07086952961027272,True,True
1,Situated household retrofit experience and building context,api_comments_per_1000_views,0.05619554424940298,0.011216970487221282,0.0942178660205417,1.0,0.0,0.08089644758049734,0.044042630275681754,0.12145106894231529,1.0,0.0,True,0.05619554424940298,True,True
1,Situated household retrofit experience and building context,api_comments_per_day,0.1255512136932596,0.09021667342943046,0.17046788346033373,1.0,0.0,0.2496019329532702,0.20976662968323737,0.2883660138544478,1.0,0.0,True,0.1255512136932596,True,True
1,Situated household retrofit experience and building context,duration_minutes,-0.06067498399198567,-0.10467577540591623,-0.013166782062613933,0.0,1.0,-0.03233263494774301,-0.07232775992602268,0.004218554973549196,0.07,0.93,True,0.03233263494774301,True,False
1,Situated household retrofit experience and building context,like_count,0.07139217922131938,0.036889624056661484,0.11024570855683766,1.0,0.0,0.1254863502644767,0.09268376915287276,0.16496077491445743,1.0,0.0,True,0.07139217922131938,True,True
1,Situated household retrofit experience and building context,likes_per_1000_views,0.10221340734856979,0.0671705605490242,0.145239898186911,1.0,0.0,0.14456852982463636,0.10339282255139308,0.18911640243042524,1.0,0.0,True,0.10221340734856979,True,True
1,Situated household retrofit experience and building context,view_count,0.020188535778314663,-0.009206060734657052,0.060137738024094806,0.83,0.17,0.07010421877161802,0.0364079873860195,0.11585237344335524,1.0,0.0,True,0.020188535778314663,False,True
1,Situated household retrofit experience and building context,views_per_day,0.07078483133395806,0.036117072451871984,0.11141151282057243,1.0,0.0,0.13748087267885373,0.09447622107399169,0.17773214344840468,1.0,0.0,True,0.07078483133395806,True,True
2,Spray foam and foam insulation,api_comment_count,-0.028906921869292668,-0.06529923792444972,0.015354351915186385,0.09,0.91,0.012727865138471019,-0.026653405143250212,0.04988955814892606,0.74,0.26,False,0.012727865138471019,False,False
2,Spray foam and foam insulation,api_comments_per_1000_views,-0.2387740442253462,-0.27710990530983987,-0.1940130149777192,0.0,1.0,-0.25148785977927246,-0.2910963033989447,-0.21467913729228447,0.0,1.0,True,0.2387740442253462,True,True
2,Spray foam and foam insulation,api_comments_per_day,0.01913041455021309,-0.02315046438391515,0.06178156710944223,0.86,0.14,0.0687665930999887,0.03239067282531839,0.10285766621150717,1.0,0.0,True,0.01913041455021309,False,True
2,Spray foam and foam insulation,duration_minutes,-0.19772813516886084,-0.24540314750178446,-0.15998904450489285,0.0,1.0,-0.20232315841397702,-0.2345205562593054,-0.16814029880047573,0.0,1.0,True,0.19772813516886084,True,True
2,Spray foam and foam insulation,like_count,0.11505814019170033,0.06632754186216493,0.15058330519439986,1.0,0.0,0.1468603881361662,0.1123619829360542,0.18018506797718029,1.0,0.0,True,0.11505814019170033,True,True
2,Spray foam and foam insulation,likes_per_1000_views,-0.09606912401113163,-0.12674156511833087,-0.05070600791651056,0.0,1.0,-0.1021083578535197,-0.14135178938473383,-0.06058676804870938,0.0,1.0,True,0.09606912401113163,True,True
2,Spray foam and foam insulation,view_count,0.13484406691354658,0.09112165454634716,0.1697001442010829,1.0,0.0,0.16175264117703134,0.12811087245291958,0.2057515431331824,1.0,0.0,True,0.13484406691354658,True,True
2,Spray foam and foam insulation,views_per_day,0.1785590252478637,0.13397585137649956,0.22023769081519484,1.0,0.0,0.21307439833699052,0.17928068333062416,0.24436467580128204,1.0,0.0,True,0.1785590252478637,True,True
3,Clarification and specification questions,api_comment_count,-0.05672130888548503,-0.11451553323373301,0.005594084695387398,0.04,0.96,-0.06598313874131773,-0.11890054537340444,-0.010522598095516103,0.01,0.99,True,0.05672130888548503,False,True
3,Clarification and specification questions,api_comments_per_1000_views,-0.13055059167401073,-0.18335795904668808,-0.08112313397856764,0.0,1.0,-0.09702511029989982,-0.164436205210436,-0.027206648384850027,0.0,1.0,True,0.09702511029989982,True,True
3,Clarification and specification questions,api_comments_per_day,-0.0847275096790115,-0.13746410491157174,-0.03118788045379864,0.01,0.99,-0.1287783850037072,-0.17975528632446794,-0.0703406311306464,0.0,1.0,True,0.0847275096790115,True,True
3,Clarification and specification questions,duration_minutes,-0.10003353305642271,-0.14752680362515347,-0.049567416067418955,0.0,1.0,-0.09358250413581451,-0.16177182071131682,-0.04067794089571356,0.0,1.0,True,0.09358250413581451,True,True
3,Clarification and specification questions,like_count,0.0014971100927652103,-0.05743749871326338,0.0592103001682227,0.51,0.49,-0.02992837151854799,-0.08939493311791247,0.023068604470011793,0.15,0.85,False,0.0014971100927652103,False,False
3,Clarification and specification questions,likes_per_1000_views,-0.09590191329569432,-0.1508834785955103,-0.044790773993206905,0.0,1.0,-0.10593221372439734,-0.17049964934464565,-0.05245244793217167,0.0,1.0,True,0.09590191329569432,True,True
3,Clarification and specification questions,view_count,0.04676753488967114,-0.0017798732054889637,0.11825820958843493,0.94,0.06,0.01159124530390268,-0.043955278726753054,0.0758018065119216,0.63,0.37,True,0.01159124530390268,False,False
3,Clarification and specification questions,views_per_day,0.007694320201659178,-0.052358819596092745,0.07465369485568295,0.65,0.35,-0.05114230313049503,-0.11677103916636807,0.0030358192346942926,0.04,0.96,False,0.007694320201659178,False,False
4,"Implementation, cost and how-to questions",api_comment_count,-0.06709485112742677,-0.11552226767383206,-0.003994861697638985,0.02,0.98,-0.1313839155008975,-0.18995679827785858,-0.0796661860070077,0.0,1.0,True,0.06709485112742677,True,True
