video_id,comment_id,retrofit_topic,creator_type,video_type,comment_text_for_coding
JofgCviM79w,UgwAop2HxJJ1WTDgxVh4AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,"Hi, I got few questions regarding Drayton wiser Thermostat. 1. I have a combi boiler and I have got Drayton+RF rotatory thermostat which is installed in hallway and it's wired one. The Drayton Digistat SCR is located next to boiler which is located upstairs. My question is that is it easy to replace the Digistat SCR which is located next to boiler and once changed than what I'm going to do with the wired rotatory thermostat which is located downstairs in hallway ? 2. Am i able to replace the wired rotatory thermostat with the smart room thermostat, since it's not wired one and I don't want to keep in the room so can i fix it on the same position where the current wired rotatory thermostat is located downstairs in the hallway or shall I leave the old wired rotatory Thermostat at same position and leave it switched off ?? 3. The reason for purchasing wiser Thermostat is to control heating temperature via app and to schedule the specific time during Day and Night when heating gets ON and OFF automatically during those specific hours. At the moment i have to wake up during late night and early morning and go to the hallway to switch ON and OFF the heating from my current drayton rotatory thermostat which is very frustrating so could you please guide me which standard wiser thermostat do i need to buy ?? Kind Regards, Shah"
JofgCviM79w,UgyI5Np5awDTBUAZbNJ4AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,"Hi, I got few questions regarding Drayton wiser Thermostat. 1. I have a combi boiler and I have got Drayton+RF rotatory thermostat which is installed in hallway and it's wired one. The Drayton Digistat SCR is located next to boiler which is located upstairs. My question is that is it easy to replace the Digistat SCR which is located next to boiler and once changed than what I'm going to do with the wired rotatory thermostat which is located downstairs in hallway ? 2. Am i able to replace the wired rotatory thermostat with the smart room thermostat, since it's not wired one and I don't want to keep in the room so can i fix it on the same position where the current wired rotatory thermostat is located downstairs in the hallway or shall I leave the old wired rotatory Thermostat at same position and leave it switched off ?? 3. The reason for purchasing wiser Thermostat is to control heating temperature via app and to schedule the specific time during Day and Night when heating gets ON and OFF automatically during those specific hours. At the moment i have to wake up during late night and early morning and go to the hallway to switch ON and OFF the heating from my current drayton rotatory thermostat which is very frustrating so could you please guide me which standard wiser thermostat do i need to buy ?? Kind Regards, Shah"
KRJGh6X073Q,Ugy029tNTbgecedU2Al4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,problem_warning_mistakes,"My system froze up intermittently, the last 7-8 years and also has a whistle that ran through the house. Finally found the kink in the large copper line set during the summer to resolve the issue. Took a while but we finally got there. Just an alternate reason."
KRJGh6X073Q,UgyVvcs37mcUsyyt-I14AaABAg,heat_pump_heating_retrofit,installer_tradesperson,problem_warning_mistakes,"My system froze up intermittently, the last 7-8 years and also has a whistle that ran through the house. Finally found the kink in the large copper line set during the summer to resolve the issue. Took a while but we finally got there. Just an alternate reason."
Kz5JbXTo4rM,UgwAT8HXGEAHpScbOnN4AaABAg,solar_renewable_integration,training_educational,practical_advice_explainer,Hello ! I understand you dont need the fuse on your solar system if its informal series but does that mean you should still have a fuse between your control charger and your inverter online says you should have a fuse for the max input rating of i. Enter is that true 😊
Kz5JbXTo4rM,UgwHW5d6hROmeiR6HOZ4AaABAg,solar_renewable_integration,training_educational,practical_advice_explainer,Hello ! I understand you dont need the fuse on your solar system if its informal series but does that mean you should still have a fuse between your control charger and your inverter online says you should have a fuse for the max input rating of i. Enter is that true 😊
Kz5JbXTo4rM,Ugzu6GxtbhJhx6dGxmV4AaABAg,solar_renewable_integration,training_educational,practical_advice_explainer,Hello ! I understand you dont need the fuse on your solar system if its informal series but does that mean you should still have a fuse between your control charger and your inverter online says you should have a fuse for the max input rating of i. Enter is that true 😊
Kz5JbXTo4rM,UgwFuXqUBgjbFlpG-gB4AaABAg,solar_renewable_integration,training_educational,practical_advice_explainer,"Hi! New to solar and would like to connect solar to charge my Ecoflow Delta 2 Max power station during power outage from hurricanes. I live near the gulf where the summer temperatures are 80 F and above. My Ecoflow Delta 2 Max has two solar charging ports. It says each port has an input voltage rating of 11-60 Volt and 15 amp input limit. Maximum watt per port is 500 watt, with a limit of 1000 watt for the whole unit. Due to tropical temperatures, worst case current is not taken into consideration here. If it is ok, I would like to connect two 200 watt (400 watt) bifacial solar panel to each port on my power station for a total of 800 watt. The solar panels i am considering has the following spec: 200 watt max power Max power voltage : 23.74 Volts Max power Current: 8.43A Open circuit voltage: 27.31 V Short circuit current: 8.91A I dont see a max series fuse rating listed on the product description page. Can you check if my calculations are correct, and is there any advantage to using parallel connection over series in this case? Will parallel make it safer for my equipments (power station and panels)? Series (per port) Open circuit voltage 27.31x2 panels‎ = 54.62V Short circuit current = 8.91A 54.62x 8.91= Total max current 487 W Parallel(per port) Open circuit voltage 27.41 V Short circuit current 8.91x2 =18A 27.41V x18A= 493 W If using parallel connection, What size fuse should I be using here? Where would the fuse go, on the negative or the positive lead? Total of 2 fuses used, one for each port?"
Kz5JbXTo4rM,UgwciKLqD_gMzcxjgPt4AaABAg,solar_renewable_integration,training_educational,practical_advice_explainer,"Hi! New to solar and would like to connect solar to charge my Ecoflow Delta 2 Max power station during power outage from hurricanes. I live near the gulf where the summer temperatures are 80 F and above. My Ecoflow Delta 2 Max has two solar charging ports. It says each port has an input voltage rating of 11-60 Volt and 15 amp input limit. Maximum watt per port is 500 watt, with a limit of 1000 watt for the whole unit. Due to tropical temperatures, worst case current is not taken into consideration here. If it is ok, I would like to connect two 200 watt (400 watt) bifacial solar panel to each port on my power station for a total of 800 watt. The solar panels i am considering has the following spec: 200 watt max power Max power voltage : 23.74 Volts Max power Current: 8.43A Open circuit voltage: 27.31 V Short circuit current: 8.91A I dont see a max series fuse rating listed on the product description page. Can you check if my calculations are correct, and is there any advantage to using parallel connection over series in this case? Will parallel make it safer for my equipments (power station and panels)? Series (per port) Open circuit voltage 27.31x2 panels‎ = 54.62V Short circuit current = 8.91A 54.62x 8.91= Total max current 487 W Parallel(per port) Open circuit voltage 27.41 V Short circuit current 8.91x2 =18A 27.41V x18A= 493 W If using parallel connection, What size fuse should I be using here? Where would the fuse go, on the negative or the positive lead? Total of 2 fuses used, one for each port?"
LL6YhT_HkIY,UgxFyFj1jHmqVCuat3J4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,"Excessive complexity. So much electronics that no one understands. We're not running a nuclear submarine here. How long is it supposed to last, or more likely, how long before software needs updating or some 'chip' becomes obsolete? The more complexity there is, the less reliable it becomes - good news for installers who have made themselves indispensable, bad news for homeowners who have to pay."
LL6YhT_HkIY,UgyN3oR0P31T4_xos9B4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,"Excessive complexity. So much electronics that no one understands. We're not running a nuclear submarine here. How long is it supposed to last, or more likely, how long before software needs updating or some 'chip' becomes obsolete? The more complexity there is, the less reliable it becomes - good news for installers who have made themselves indispensable, bad news for homeowners who have to pay."
LVYSz1CuuDw,UgxIuHdITsPbK0is1fd4AaABAg,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,What's the point?
LVYSz1CuuDw,UgxQTsl4ZWj5s0-Ptpl4AaABAg,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,What's the point?
Lc2D5U4DJew,UgwKgFeSAJ8oY2Z0Kmx4AaABAg,loft_roof_insulation,installer_tradesperson,problem_warning_mistakes,"Hi Steve, I have installed a flat warm roof attached to my pitched cold roof. The airflow from the cold pitch roof has access to flow into the space between the joists of the flat roof underneath the 120mm insulation of the warm roof deck. Would I be need to install some insulation to the underside of the joist on my flat roof and still leave a gap for the airflow between the joist? I will be installing an airtight membrane, battens for services and then plasterboard."
Lc2D5U4DJew,Ugy_NRqGmvnkfCGEMk94AaABAg,loft_roof_insulation,installer_tradesperson,problem_warning_mistakes,"Hi Steve, I have installed a flat warm roof attached to my pitched cold roof. The airflow from the cold pitch roof has access to flow into the space between the joists of the flat roof underneath the 120mm insulation of the warm roof deck. Would I be need to install some insulation to the underside of the joist on my flat roof and still leave a gap for the airflow between the joist? I will be installing an airtight membrane, battens for services and then plasterboard."
MQmy2PkmlCE,Ugw44Lfb4mucCW_WWNl4AaABAg,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,Wait for what?
MQmy2PkmlCE,UgwqFbfRyADsMMJsB3V4AaABAg,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,Wait for what?
MQmy2PkmlCE,Ugy1vsLZwkh5W3edo9R4AaABAg,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,Wait for what?
MzSCf_LkyNw,Ugw_6B_dpp2UtN5Lx2h4AaABAg,loft_roof_insulation,installer_tradesperson,how_to_installation_demo,Now it has zero insulation
MzSCf_LkyNw,Ugy8zyFljWZ6gNrUwTR4AaABAg,loft_roof_insulation,installer_tradesperson,how_to_installation_demo,Now it has zero insulation
Ns0leU63MRc,UgwBcOKK7eWRPBcNR7l4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,"He does not give a shit what happens after, I am an electrician and still know what he’s doing is wrong"
Ns0leU63MRc,UgxDpSXeJubbsjWiC5p4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,"He does not give a shit what happens after, I am an electrician and still know what he’s doing is wrong"
PKRqplUscbw,Ugx_Iu3zK0UYq11DEPJ4AaABAg,loft_roof_insulation,diy_renovator_homeowner,how_to_installation_demo,What are the orange flags? Are they marking electric junction boxes by chance?
