topic_number,representative_rank,tfidf_row_index,topic_weight,relative_topic_loading,video_id,comment_id,comment_text,retrofit_topic,creator_type,video_type,primary_theme
1,11,16354,0.03906133720059292,0.38098199197211186,KxHcu7JvZwk,UgwZwamlDC5X-IigZLZ4AaABAg,"I tested this theory- At one point in the past, I lived in a draughty 120 year old 2 up 2 down terraced house with part double glazing, slate roof, draughty loft with a couple of layers of loft insulation/ boards etc I had gas central heating, which just about coped in winter, I tried 2 experiments over a week. 1. Heating timed to come on for an hour in the morning, then off all day, had good day time heat if the sun was heating through the windows. Mostly it wasn't! Then the heating came on for a couple of hours in the evening. Then off the rest of the night. 2. Manually put the heating on first thing in the morning and have it on all day and evening, turn it off before bedtime. What I found was the heating used the most gas getting the house up to temperature from cold. Leaving it on all day used slightly more gas but the benefit was a cosy warm house all day. So in the week when we were at work the house was empty so we had the heating on in the morning, off all day then back on in the evening. At weekends we left it running all day. That seemed to be a good compromise that worked for us. Turning it off during the day at weekends didn't actually save that much money. Because the heating is just ticking over cutting in every so often, it's easier for the boiler to maintain a steady temp rather than having to heat up a house from cold. I had a lot of thermal loses in that house to be fair, in the end I cut my loses and got a more modern, thermally efficient house.",heat_pump_heating_retrofit,training_educational,practical_advice_explainer,theme_personal_experience
1,12,39741,0.03845634422230025,0.3592574719788122,uLPNrGdu0W0,Ugynjo7viGQ2i_129Gx4AaABAg,"When my boiler blew up two years ago a ""smart boiler"" was at the forefront of my mind when getting a new one. The boiler i chose came with tado. I'd moved out of my parents house who have always had nest. I can safely say i will NEVER switch to nest! tado does so many neat things. Like for example it somehow KNOWS there is a window open; it uses geomapping to tell when you're close to your house or leaving, The one gripe many people had is that its not possible to set it over 25 but people fail to realise that you shouldn't even need to be putting it higher than that. If you're having to wack your heat up that high your thermostats aren't in the right places and the ONE place you do have one is too cold for it to get an average temp of the home...rather that the temp of that ONE room",smart_heating_controls,diy_renovator_homeowner,how_to_installation_demo,theme_practical_advice
1,13,9837,0.03842273334725353,0.5958332493908429,BXPR0NUn5fA,UgzkFEyRMVIm1BuaRhF4AaABAg,Well you got to understand that pink fiberglass ain’t nothing like the stuff we worked with even 1520 years ago they’ve made it a lot more friendly for people because all the damage asbestos is done fiberglass is almost as bad because it’s just a small of particulate as asbestos it’s just about half as toxic is the difference but they’re both not good for people most important thing when you’re messing with fiberglass it’s not really touching it it’s a breathing it in because there’s no way to get it back out of your body want you breathing into your lungs!!!! i’ve been doing construction since I was 12 I’m 49 I inherited my grandfathers business at 33 so I know what I’m talking about a Biltmore houses that I can count!!!!,external_wall_insulation,builder_contractor,problem_warning_mistakes,theme_safety_risk_warning
1,14,10632,0.03833354049952702,0.5266877713138859,R9BfhFEv8fg,UgxdtU2FYYpcN_PzY1R4AaABAg,my house... NOT DONE!,ventilation_mvhr,installer_tradesperson,practical_advice_explainer,theme_personal_experience
1,15,40128,0.03833354049952702,0.5266877713138859,3zUMOblSJ60,UgxSTHkOsqAJKlxa1zp4AaABAg,My house is not 😂,airtightness_draught_proofing,training_educational,how_to_installation_demo,theme_personal_experience
1,16,10885,0.03833150138747323,0.31472117537766287,HCo8nWzfFVc,UgyCUuqTH_cNODvJFAx4AaABAg,"30 to 60 well I would say you’ll never get any household in the uk ever down to 30 but anything below 50% should be exceptable, I live in a mid terrace house in north England and I’ve had issues with high humidity , condensation and black mould and we did have one of those units fitted in the loft but we found it not very effective as it just blew cold and damp air in to the house from the loft so how these units are supposed to reduce humidity levels I’m not sure but I did invest in dehumidifiers in problem rooms and I run them 2 to 3 hours in the morning and late evening and they work really well, infact they are very impressive as you shouldn’t even open your windows as the outside humidity can be higher than inside your house so when people say open your windows to reduce humidity or condensation I just think is ridiculous as you need a device like a dehumidifier to extract the moisture from your home which lowers the humidity and like you said makes the inside air drier which is easier to heat up especially in winter so I believe dehumidifiers pay for themselves by cutting heating costs down because it’s easier to heat up a dry room than a damp one, simple, also I applied and damp proof membrane paint on my problem outside walls then 4 layers of thermal paint or condensation paint with a mould inhibiting product added to the paint and this has completely stopped the condensation building up as the inside walls are now dry and not damp or cold in winter so it’s completely eliminated the condensation problem so it’s all to do with using knowledgeable information and applying the methods into practice. Good luck",damp_condensation_moisture,diy_renovator_homeowner,practical_advice_explainer,theme_practical_advice
1,17,8412,0.03808380001122042,0.38180596132335615,kGs_biFA87Q,UgyilRzLPld3RPtFbo14AaABAg,"mentioned on another channel..its all horses for courses, and in the end no matter what you do, the costs are roughly the same. The biggest contributor to all this is the weather.. that you cant do anything about or plan for.... so in saying all what you have said... it can only work if the weather was completely constant, and it isnt... so in the end no matter what you do, it usually averages out anyway. I have solid wall old house, triple glazed and good loft insulation. The house can lose 2/3 degrees inside in 2 hours when its 8/9 degress ourside and more rapidly when its colder. When its say 12/13 outside and more, the heating can be on for only 20mins before its reached 19.5 from say 17, and it goes off and can stay at that for 3 hours. Ive done all the tests.. leaving on 18.5 all day.. having it come on and off when i feel cold and just boost for 1 hour to 19 (sometimes it doesnt get to that because its too cold outside and inside has fallen low), and all in between.. i see no difference in costs... but does change your comfort level. The backset temp we have is 15... so if cold at night, it will kick in... only occurs when its really cold. Lets be fair no one likes being uncomfortable at home, but the majority of housing in this country is terrible, its old and even new builds arent at the standard they should be. Flipping Poland have been building Passive houses for like 20 years... its standard... over here building is about money making and lining certain peoples pockets... not about value for money, our comfort, and economy.",heat_pump_heating_retrofit,training_educational,practical_advice_explainer,theme_cost_finance
1,18,28332,0.03792478134035128,0.2829162636383672,wWWfFER9Spw,UgwyyazPuBTBWbioWHV4AaABAg,"Ron, thanks for directing me to this video. This is going to be very helpful on my old house. I'm a carpenter up in Maine. Been pounding nails for 47 years but all but the first 5 years has been commercial building, maintenance and repairs. I know big commercial steam heating systems fairly well but not residential and especially radiant. We have a 1000 square foot, 500 feet per floor, old house that has pretty good insulation in it that we heat with a pellet stove, and it works well. I'm not getting any younger, almost 66, and I want a more automatic system, but I don't want to put fin tube is as our rooms are very small so it's hard to keep the furniture away from the walls. Radiant is the way to go for me. One of my nephews is building a new house right now and he put in radiant. I can't believe how well it works. I had never seen it before. I'm sold on it. I just can't afford to do it the way it is ""supposed"" to be done so I'm looking for alternatives. I figure if you did it this way before and it didn't work you wouldn't be doing it again. Next, I'm going to watch your inwall system video. I have been thinking about that for the second floor. Pannel rads are way too expensive for me. BTW, I buy a lot from supplyhouse.com too and have been for years.",heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_practical_advice
1,19,17243,0.03791918216334202,0.366854151373339,KIbJ6CBhWoI,UgxsCsPFnh1IiKIdpch4AaABAg,"I live in Alabama in a 30+ year old, hand built, half insulated (not where it counts) home with a crawl space (that wasnt vapor guarded for some reason) and i cant begin to say how much this window stuff has seriously lowered my power bill. I moved in with my BF 3 years ago. We have 2 kids so in total a house of 4 with a 6 and 2 yo. His bill used to be about 300-400 year round just for him and a roommate both barely home. I got this bill down to highest 250 in the summer and about 150 was my last bill (still dropping too first winter having it on windows). Like it impresses me how good this stuff works",windows_doors_glazing,diy_renovator_homeowner,how_to_installation_demo,theme_cost_finance
1,20,6427,0.03788557799371665,0.9371322494719574,QWkP4P7lUMA,Ugy7NPPsArAt0y9oJfl4AaABAg,"Moved into our house 4 years ago. Our front door is to the kitchen, and for 4 years every winter our kitchen has been absolutely freezing. All this time I just thought we had a bad door. I can't believe I never knew this was a thing. Mind absolutely blown 😂😂 thank you so much!",airtightness_draught_proofing,training_educational,problem_warning_mistakes,theme_practical_advice
