candidate_topic_count,topic_number,topic_npmi_top_10,dominant_comment_count,dominant_comment_share,median_relative_dominant_loading,mean_relative_dominant_loading,unique_videos,largest_single_video_share,channel_column_used,largest_single_channel_share,top_10_terms,top_20_terms,generic_social_terms_in_top_10,retrofit_topic_distribution,creator_type_distribution,video_type_distribution,primary_theme_distribution,leading_channels,provisional_topic_label,coherence_rating_1_to_5,distinctiveness_rating_1_to_5,research_relevance_rating_1_to_5,possible_overlap_with_topic,retain_merge_or_reject,reviewer_notes
12,11,0.2451337392257993,4217,0.09935678439318615,0.5022809665372858,0.5360335239869459,473,0.036281716860327246,,,insulation | wall | barrier | cavity | walls | floor | vapour | vapour barrier | vapor | wall insulation,insulation | wall | barrier | cavity | walls | floor | vapour | vapour barrier | vapor | wall insulation | between | board | vapor barrier | cavity wall | moisture | inside | brick | concrete | damp | plaster,,damp_condensation_moisture (710; 16.8%) | loft_roof_insulation (643; 15.2%) | internal_wall_insulation (552; 13.1%),"builder_contractor (1,213; 28.8%) | diy_renovator_homeowner (1,207; 28.6%) | training_educational (1,098; 26.0%)","how_to_installation_demo (1,992; 47.2%) | practical_advice_explainer (1,015; 24.1%) | problem_warning_mistakes (792; 18.8%)","theme_question_request (1,379; 32.7%) | theme_energy_performance (1,062; 25.2%) | theme_damp_moisture_condensation (719; 17.1%)",,,,,,,,
12,12,0.2831162092668909,4429,0.10435171877576986,0.48925842784130696,0.5190263049902839,525,0.03612553623842854,,,air | roof | vents | attic | cold | vent | warm | ventilation | ridge | soffit,air | roof | vents | attic | cold | vent | warm | ventilation | ridge | soffit | gap | space | warm roof | through | condensation | moisture | ceiling | cold air | fan | flow,,"loft_roof_insulation (1,096; 24.7%) | ventilation_mvhr (877; 19.8%) | damp_condensation_moisture (846; 19.1%)","diy_renovator_homeowner (1,233; 27.8%) | builder_contractor (1,141; 25.8%) | training_educational (1,063; 24.0%)","how_to_installation_demo (1,673; 37.8%) | practical_advice_explainer (1,534; 34.6%) | problem_warning_mistakes (980; 22.1%)","theme_question_request (1,407; 31.8%) | theme_practical_advice (826; 18.6%) | theme_energy_performance (765; 17.3%)",,,,,,,,
16,1,0.1263696284566999,5105,0.12027896237306505,0.4319432862958904,0.4776723277581098,693,0.01762977473065622,,,house | not | just | when | never | years | no | like | good | more,house | not | just | when | never | years | no | like | good | more | old | time | heating | new | way | over | people | windows | problem | really,good,"heat_pump_heating_retrofit (1,220; 23.9%) | airtightness_draught_proofing (766; 15.0%) | damp_condensation_moisture (630; 12.3%)","diy_renovator_homeowner (1,587; 31.1%) | training_educational (1,374; 26.9%) | installer_tradesperson (1,274; 25.0%)","how_to_installation_demo (2,468; 48.3%) | practical_advice_explainer (1,317; 25.8%) | problem_warning_mistakes (972; 19.0%)","theme_practical_advice (1,423; 27.9%) | theme_question_request (1,061; 20.8%) | theme_personal_experience (520; 10.2%)",,,,,,,,
16,2,0.3471855908937648,1636,0.03854581438635346,0.5482989829758171,0.5769375840229701,220,0.11858190709046455,,,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board | board | expanding foam | cell spray | use spray | foam not | attic | seal | cell foam | wool | mortgage,,loft_roof_insulation (461; 28.2%) | airtightness_draught_proofing (379; 23.2%) | damp_condensation_moisture (279; 17.1%),builder_contractor (792; 48.4%) | diy_renovator_homeowner (361; 22.1%) | installer_tradesperson (271; 16.6%),how_to_installation_demo (738; 45.1%) | problem_warning_mistakes (611; 37.3%) | practical_advice_explainer (148; 9.0%),theme_product_material_tool (588; 35.9%) | theme_question_request (314; 19.2%) | theme_practical_advice (231; 14.1%),,,,,,,,
16,3,-0.0591598151752249,2806,0.06611219753551822,0.5502470344942825,0.5848965716572934,647,0.0135424091233072,,,what | what happens | happens | know what | what brand | using | what would | what kind | brand | kind,what | what happens | happens | know what | what brand | using | what would | what kind | brand | kind | what cost | what did | what size | size | called | know | cost | what type | use | doing,,heat_pump_heating_retrofit (617; 22.0%) | smart_heating_controls (371; 13.2%) | solar_renewable_integration (319; 11.4%),installer_tradesperson (892; 31.8%) | diy_renovator_homeowner (766; 27.3%) | training_educational (668; 23.8%),"how_to_installation_demo (1,558; 55.5%) | practical_advice_explainer (619; 22.1%) | problem_warning_mistakes (430; 15.3%)","theme_question_request (2,076; 74.0%) | theme_practical_advice (190; 6.8%) | theme_energy_performance (118; 4.2%)",,,,,,,,
16,4,0.0410204450448569,2369,0.05581603562424899,0.5069129560021723,0.5481544859336483,621,0.013085690164626424,,,how | cost | how did | how does | how long | know | long | how would | know how | how cost,how | cost | how did | how does | how long | know | long | how would | know how | how cost | how know | video how | how fix | fix | how install | not how | did cost | does cost | insulate | set,,heat_pump_heating_retrofit (577; 24.4%) | smart_heating_controls (384; 16.2%) | solar_renewable_integration (274; 11.6%),installer_tradesperson (795; 33.6%) | diy_renovator_homeowner (702; 29.6%) | training_educational (527; 22.2%),"how_to_installation_demo (1,370; 57.8%) | practical_advice_explainer (469; 19.8%) | problem_warning_mistakes (352; 14.9%)","theme_question_request (1,650; 69.6%) | theme_practical_advice (226; 9.5%) | theme_energy_performance (143; 6.0%)",,,,,,,,
16,5,0.3620621807639865,2965,0.069858398322456,0.45385653624825784,0.48582014014847935,363,0.05834738617200674,,,heat | pump | heat pump | gas | water | pumps | heating | heat pumps | boiler | hot,heat | pump | heat pump | gas | water | pumps | heating | heat pumps | boiler | hot | hot water | temperature | electric | air | radiators | furnace | heater | loss | heat loss | run,,"heat_pump_heating_retrofit (2,291; 77.3%) | smart_heating_controls (221; 7.5%) | solar_renewable_integration (68; 2.3%)","installer_tradesperson (1,114; 37.6%) | training_educational (1,062; 35.8%) | diy_renovator_homeowner (528; 17.8%)","practical_advice_explainer (1,427; 48.1%) | how_to_installation_demo (1,192; 40.2%) | problem_warning_mistakes (176; 5.9%)","theme_question_request (1,066; 36.0%) | theme_practical_advice (545; 18.4%) | theme_energy_performance (418; 14.1%)",,,,,,,,
16,6,0.2062807007457136,3750,0.08835379214475886,0.49416688363260947,0.525390999919965,590,0.0208,,,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question | informative | thanks great | video what | job | helpful | nice | excellent | sharing | good | really,great | thank | thanks | video | videos,smart_heating_controls (824; 22.0%) | heat_pump_heating_retrofit (815; 21.7%) | airtightness_draught_proofing (434; 11.6%),"diy_renovator_homeowner (1,244; 33.2%) | installer_tradesperson (1,020; 27.2%) | training_educational (948; 25.3%)","how_to_installation_demo (2,067; 55.1%) | practical_advice_explainer (740; 19.7%) | problem_warning_mistakes (657; 17.5%)","theme_question_request (1,583; 42.2%) | theme_practical_advice (656; 17.5%) | theme_personal_experience (345; 9.2%)",,,,,,,,
16,7,0.1876245266698606,1754,0.04132601371250854,0.5257121135734864,0.5566724732594104,523,0.022234891676168756,,,why | why not | not | use | why would | not just | not use | why did | just | instead,why | why not | not | use | why would | not just | not use | why did | just | instead | understand | just use | why use | why does | know why | would not | understand why | illegal | not understand | why no,,heat_pump_heating_retrofit (376; 21.4%) | smart_heating_controls (237; 13.5%) | solar_renewable_integration (216; 12.3%),installer_tradesperson (594; 33.9%) | diy_renovator_homeowner (448; 25.5%) | training_educational (417; 23.8%),how_to_installation_demo (993; 56.6%) | practical_advice_explainer (400; 22.8%) | problem_warning_mistakes (262; 14.9%),"theme_question_request (1,264; 72.1%) | theme_practical_advice (224; 12.8%) | theme_energy_performance (73; 4.2%)",,,,,,,,
16,8,0.3441331814724632,3400,0.08010743821124802,0.515140061861834,0.5454871440452955,424,0.033529411764705884,,,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost | charge | energy | use | solar panel | electric | kwh | more | electricity | need | day,,"solar_renewable_integration (2,234; 65.7%) | heat_pump_heating_retrofit (506; 14.9%) | smart_heating_controls (299; 8.8%)","training_educational (1,253; 36.9%) | installer_tradesperson (1,125; 33.1%) | diy_renovator_homeowner (897; 26.4%)","how_to_installation_demo (1,633; 48.0%) | practical_advice_explainer (1,056; 31.1%) | project_walkthrough (411; 12.1%)","theme_question_request (1,256; 36.9%) | theme_cost_finance (794; 23.4%) | theme_practical_advice (546; 16.1%)",,,,,,,,
