topic_number,representative_rank,topic_weight,relative_topic_loading,video_id,comment_id,comment_text,retrofit_topic,creator_type,video_type,primary_theme
4,2,0.2731250589541915,1.0,RlQjU6gQcFU,UgzOc6u9y_EY2bD40Zl4AaABAg,"So, that's how it done...? 😱",external_wall_insulation,installer_tradesperson,how_to_installation_demo,theme_question_request
4,3,0.2731250589541915,1.0,MzSCf_LkyNw,Ugyb_WwCUCve7N2GIQl4AaABAg,How is he a gangster in paradise?,loft_roof_insulation,installer_tradesperson,how_to_installation_demo,theme_question_request
4,4,0.2731250589541915,1.0,OZvrTuhJhXs,UgxwMe8fM_kjc4FPaEh4AaABAg,How can I all the videos you have?,solar_renewable_integration,training_educational,how_to_installation_demo,theme_question_request
4,5,0.2731250589541915,1.0,hqFU3zjv-fs,Ugz1XqgYbjDVvLOiiLB4AaABAg,How much is it?,loft_roof_insulation,installer_tradesperson,problem_warning_mistakes,theme_question_request
4,6,0.2731250589541915,1.0,EY77sPyVM2c,UgzMcMysyImMD4RYOq94AaABAg,How much is the PF?,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request
4,7,0.2731250589541915,1.0,P6rA-E-HmQ0,UgwCHor35FidVlGrelR4AaABAg,how much all???,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
4,8,0.2731250589541915,1.0,ukgh7mrTd-Y,UgzWJu9O8P_JiNCc10B4AaABAg,How much is this?,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
5,1,0.10620431846786284,1.0,YhGoeR4Q4tM,UgwZttjW9va6kBQ2_0d4AaABAg,can you do our house please?,loft_roof_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
5,2,0.10620431846786284,1.0,OKuaURXqQ0E,UgwReZewjkvadJIbke14AaABAg,Is that my house?,airtightness_draught_proofing,builder_contractor,how_to_installation_demo,theme_question_request
5,3,0.10620431846786284,1.0,tUWJTF9nyaQ,UgyLq3BaZmEloyk-HLp4AaABAg,I have in my house is awesome,loft_roof_insulation,builder_contractor,problem_warning_mistakes,theme_personal_experience
5,4,0.10620431846786284,1.0,tUWJTF9nyaQ,Ugx2GeQyv1bg8RBflNB4AaABAg,I have it at my house and it’s divine,loft_roof_insulation,builder_contractor,problem_warning_mistakes,theme_personal_experience
5,5,0.10620431846786284,1.0,jYNufQVIFfA,Ugy-_4queRzKwpWlR5V4AaABAg,I do everything myself on my house 🏘️,damp_condensation_moisture,builder_contractor,problem_warning_mistakes,theme_personal_experience
5,6,0.07414717162779072,0.5028546270294831,KxHcu7JvZwk,UgzlZUUnQ4VILCILA_Z4AaABAg,"I think you should retire Roger, your so wrong about leaving your heating on 24/7 will cost more. The biggest problem in this industry, nobody wants to spend time learning what manufactures have, they all want to fit the same boiler like sheep to the slaughter. They still fit a boiler and leave the old room stat in. I done that some 40 odd years back, installers need to update, things have changed. A condensing boiler with weather compensation installed correctly and to energy efficiency standards plus the system power flushed and a high recovery cylinder will save money and can be run all day compared to a cast iron boiler with dirty system and old cylinder with red jacket sort of fitted. I have plenty of customers who say they are saving 30 to 40% over these old dinosaur systems, it allows them to run there's all day, plus comfort is so much better when the radiators are holding a set water temperature. I have lived in my home for over 20 years, when I brought it I installed a condensing boiler, two zone control heating & hot water cylinder, pump, radiators, thermostatic valves and new heating carcass, all to the energy efficiency standards, that system lasted 14 years and from year one cost me around £750.00 a year. In the last two years it was costing £1200.00. I then threw the lot out after I built a ground floor extension and fitted underfloor heating downstairs throughout and low water temperature radiators upstairs, plus an unvented hot water cylinder. The underfloor heating is covered in Anhydrite liquid floor screed at between 40 to 45 mm making heat up times around two hours, much quicker than conventional floor screeds. The key to this system is how the system is controlled. I fitted a Glowworm system boiler and Glowworm weather compensation, Vaillant did not have this setup even though they own Glowworm. Yes I have been fitting Glowworm boiler with weather comp for the last 13 years, plus some Vaillant single heat zone W/Comp systems, I fit some Worcester boilers but they don't have multi zone weather comp via wireless controls. My System. The underfloor heating has no PUMP or MIXING SET. The ground floor and first floor Glowworm room stats and outside sensor via a Glowworm Systempro3 control how hot the water gets to heat with the boilers software, the main controller, a Glowworm Systempro3 allows you to set the lower and upper limit to the flow temperature, I have the flow at 46 max and the lower limit at 25. At these settings the boiler works 24/7 in condensing mode and mostly at below 40 degs, the low water temperature radiators use the same water temperature as the underfloor heating, these radiators have cylindrical fans built into them so for the same size as a conventional rad they give the same output even though the water temp is very low, this allows the boiler to work in max condensing mode to heat the 1st floor. Now your wondering how I heat my hot water. The Cylinder is a 210 litre unvented duel coil cylinder with a pocket file, its fed via 28mm copper primary's that divide into 22mm for each coil in the cylinder. Glowworms weather compensation systems are hot water priority, when the sensor in the pocket file registers the hot water has dropped to 54 degs the boiler switches over to hot water demand only and works flat out ( set to 72 degs) to recover the cylinder, even if the shower is being run by one of my daughters (that's 30min shower at least) the cylinder will recover faster than they can use the hot water and so within 20 minuets will be back to around 60 degs, once there it leaves that zone valve open for two minutes as the by-pass before switching back to the heating, any zone valve is controlled to allow for the two minute overrun. upstairs is set to 20 and set back to 18.5. one other factor with weather comp and hot water priority you only need a boiler as big as the maximum demand, if that's 12kw for hot water and 9 kw heating you fit a 12 kw.",heat_pump_heating_retrofit,training_educational,practical_advice_explainer,theme_practical_advice
5,7,0.06921142928470174,0.8881266183542333,HkHozg0ckWY,Ugyz-FPf1u8nHKvTG1V4AaABAg,"I live in a big old house, no central heating, (gas fire in the living room) not even fully double glazed, my bathroom windows ice up on the inside in the freezing weather. I have a dehumidifier for the damp because my single glazed windows run with condensation which I have to wipe and dry every day. I use hot water bottles, blankets and thick socks. It’s sometimes miserably cold, I’ve got a convection heater I put on in my bedroom when I’m desperate, but I just find it hilarious that people these days think they can’t survive without central heating. We’ve become a nation of namby pambys",general_energy_retrofit,diy_renovator_homeowner,practical_advice_explainer,theme_damp_moisture_condensation
5,8,0.06675024411745288,0.5451050070086468,KxHcu7JvZwk,UgwZwamlDC5X-IigZLZ4AaABAg,"I tested this theory- At one point in the past, I lived in a draughty 120 year old 2 up 2 down terraced house with part double glazing, slate roof, draughty loft with a couple of layers of loft insulation/ boards etc I had gas central heating, which just about coped in winter, I tried 2 experiments over a week. 1. Heating timed to come on for an hour in the morning, then off all day, had good day time heat if the sun was heating through the windows. Mostly it wasn't! Then the heating came on for a couple of hours in the evening. Then off the rest of the night. 2. Manually put the heating on first thing in the morning and have it on all day and evening, turn it off before bedtime. What I found was the heating used the most gas getting the house up to temperature from cold. Leaving it on all day used slightly more gas but the benefit was a cosy warm house all day. So in the week when we were at work the house was empty so we had the heating on in the morning, off all day then back on in the evening. At weekends we left it running all day. That seemed to be a good compromise that worked for us. Turning it off during the day at weekends didn't actually save that much money. Because the heating is just ticking over cutting in every so often, it's easier for the boiler to maintain a steady temp rather than having to heat up a house from cold. I had a lot of thermal loses in that house to be fair, in the end I cut my loses and got a more modern, thermally efficient house.",heat_pump_heating_retrofit,training_educational,practical_advice_explainer,theme_personal_experience
6,1,0.2534743539477011,1.0,fK7xyDSxa0I,UgxxJsugpvJjguyChw94AaABAg,Why only 70 ?,smart_heating_controls,installer_tradesperson,practical_advice_explainer,theme_question_request
6,2,0.2534743539477011,1.0,xc_BbbMi1cg,UgyWpt6yP-b24FRX8E14AaABAg,why all the curses?,heat_pump_heating_retrofit,diy_renovator_homeowner,practical_advice_explainer,theme_question_request
6,3,0.2534743539477011,1.0,hjlVL4sgqKw,UgwKQKhdT-Cjp1e8fAV4AaABAg,boring! why video?,heat_pump_heating_retrofit,training_educational,practical_advice_explainer,theme_question_request
6,4,0.2534743539477011,1.0,5t9PwXUV3SA,Ugxzk1Jco9ZeRdgKFeJ4AaABAg,Why the blurring?,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request
6,5,0.22633837292589962,0.834952577342557,GZAce6iz2gg,Ugz9lgNYahQVKq1u3Ed4AaABAg,why brazing and not stabrite8??,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request
6,6,0.2229739126958603,0.9271613817852803,xcAwujfTN64,Ugy0GVd7YA0P_q9aqkx4AaABAg,Why install from top to bottom? Why not bottom to top????,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
6,7,0.19606787218263655,0.6135951087807955,dIPM5yk2u38,Ugz2OCm1uBHmEzfgj594AaABAg,why the cone off insulation,airtightness_draught_proofing,installer_tradesperson,how_to_installation_demo,theme_energy_performance
6,8,0.18541973274574494,0.8263765918208701,GhAKMAcmJFg,UgyO8b5aQVaog0ElQrt4AaABAg,why aren't you boris's heating tzar yet?,heat_pump_heating_retrofit,builder_contractor,practical_advice_explainer,theme_question_request
7,1,0.20228247285213827,1.0,0oDLwBZurp8,UgwLXXm1LLIQhvcfiGF4AaABAg,Do you have a video on the heat pump?,whole_house_deep_retrofit,builder_contractor,project_walkthrough,theme_question_request
